"barcode","SampleType","RawCount","logCPM"
"TCGA-06-6390","Primary Tumor",4358,6.28982840959931
"TCGA-06-5411","Primary Tumor",8859,7.4521271195949
"TCGA-06-5411","Primary Tumor",6163,7.04190407782618
"TCGA-12-3648","Primary Tumor",5377,7.01394068345224
"TCGA-06-A7TK","Primary Tumor",9869,7.39372495865768
"TCGA-19-5959","Primary Tumor",37487,8.88116501004555
"TCGA-06-0166","Primary Tumor",5811,6.57254083986344
"TCGA-06-5859","Primary Tumor",13315,8.1431321936026
"TCGA-06-5859","Primary Tumor",11783,7.93336262866543
"TCGA-14-4157","Primary Tumor",1381,4.41675394555963
"TCGA-12-5299","Primary Tumor",6241,7.21574687268693
"TCGA-06-5416","Primary Tumor",8392,8.07618658602447
"TCGA-19-1390","Primary Tumor",2612,5.78021980799935
"TCGA-16-0846","Primary Tumor",14353,7.9357267142743
"TCGA-02-0047","Primary Tumor",12663,8.51373198197436
"TCGA-14-0817","Primary Tumor",8041,7.60860736997714
"TCGA-26-5136","Primary Tumor",7995,8.58133201960744
"TCGA-28-2514","Primary Tumor",6715,7.26852296052292
"TCGA-19-2620","Primary Tumor",8959,8.44086384514574
"TCGA-12-3650","Primary Tumor",3830,7.26648253405595
"TCGA-12-0772","Primary Tumor",5292,6.19478936939908
"TCGA-06-2569","Primary Tumor",2565,5.56997384831987
"TCGA-06-0644","Primary Tumor",10824,8.13396502047902
"TCGA-41-4097","Primary Tumor",5424,7.48396015998095
"TCGA-26-5135","Primary Tumor",4022,7.0493565268984
"TCGA-32-1970","Primary Tumor",16096,8.51141954041436
"TCGA-28-2510","Primary Tumor",5711,7.18898344135512
"TCGA-41-2571","Primary Tumor",5762,7.29251101780988
"TCGA-14-0871","Primary Tumor",722,6.37911585042757
"TCGA-14-0871","Primary Tumor",3820,5.77690382122134
"TCGA-28-5213","Primary Tumor",3632,7.41398292000804
"TCGA-27-1834","Primary Tumor",22208,9.13665350094012
"TCGA-12-0775","Primary Tumor",7252,6.74079721483255
"TCGA-06-5414","Primary Tumor",9642,7.71407674311733
"TCGA-06-0190","Primary Tumor",11610,8.23044945534811
"TCGA-06-5414","Primary Tumor",7697,7.31259343683763
"TCGA-06-0190","Recurrent Tumor",7082,7.73742909609814
"TCGA-06-6388","Primary Tumor",10524,7.43188081299729
"TCGA-02-2486","Primary Tumor",8871,8.09039797005275
"TCGA-14-0790","Primary Tumor",22693,8.78067628894418
"TCGA-06-6694","Primary Tumor",5901,6.40900919293294
"TCGA-12-1095","Primary Tumor",5090,6.40112842680015
"TCGA-06-5410","Primary Tumor",4467,6.8365977187537
"TCGA-76-4926","Primary Tumor",16448,8.35525340711077
"TCGA-19-5960","Primary Tumor",10847,7.72928906123266
"TCGA-06-0878","Primary Tumor",4594,7.65115644542085
"TCGA-14-0781","Primary Tumor",13579,7.60994906738935
"TCGA-06-1086","Primary Tumor",4219,5.89824432819318
"TCGA-76-4927","Primary Tumor",9042,8.27479321544169
"TCGA-16-0849","Primary Tumor",5883,6.43917180614031
"TCGA-06-1087","Primary Tumor",13861,7.71932199710473
"TCGA-19-0957","Recurrent Tumor",6385,7.44671117300005
"TCGA-06-1805","Primary Tumor",11965,7.33355634603751
"TCGA-14-0787","Primary Tumor",9594,7.01122851715232
"TCGA-19-4065","Primary Tumor",4134,6.17650574932853
"TCGA-27-2524","Primary Tumor",4696,7.23210974462522
"TCGA-19-4065","Recurrent Tumor",10581,8.19786448704753
"TCGA-28-2509","Primary Tumor",14166,8.53502263513679
"TCGA-26-5133","Primary Tumor",8951,7.88194292371659
"TCGA-14-1396","Primary Tumor",10445,7.4107527018305
"TCGA-41-3915","Primary Tumor",8226,7.90668587885706
"TCGA-02-0026","Primary Tumor",8412,7.0830467619758
"TCGA-06-0747","Primary Tumor",19781,8.79726979505665
"TCGA-06-0747","Primary Tumor",13642,7.77581589621089
"TCGA-19-1787","Primary Tumor",21653,8.93085528547942
"TCGA-19-1787","Primary Tumor",18063,7.96429295392088
"TCGA-06-0141","Primary Tumor",4586,6.67716766212581
"TCGA-06-0141","Primary Tumor",2995,5.88209371260414
"TCGA-12-1092","Primary Tumor",10559,7.76254909767608
"TCGA-28-5208","Primary Tumor",9963,7.78302154964164
"TCGA-27-2521","Primary Tumor",23442,9.12482181946093
"TCGA-06-0745","Primary Tumor",5416,6.77478880337732
