"barcode","SampleType","RawCount","logCPM","total_mutations"
"TCGA-02-0003","Primary Tumor",6686,6.83777964762727,47
"TCGA-02-0016","Primary Tumor",16372,7.81956142295599,NA
"TCGA-02-0026","Primary Tumor",8412,7.0830467619758,NA
"TCGA-02-0033","Primary Tumor",8863,7.49329582690203,35
"TCGA-02-0038","Primary Tumor",15249,8.41895518957801,NA
"TCGA-02-0039","Primary Tumor",6777,6.89273280274433,NA
"TCGA-02-0047","Primary Tumor",12663,8.51373198197436,67
"TCGA-02-0047","Primary Tumor",17074,8.14172951612787,67
"TCGA-02-0055","Primary Tumor",7507,7.67779571275056,55
"TCGA-02-0055","Primary Tumor",8977,7.91751598824245,55
"TCGA-02-0070","Primary Tumor",9792,7.20435841567251,NA
"TCGA-02-2466","Primary Tumor",5601,6.85159119408388,91
"TCGA-02-2470","Primary Tumor",6000,7.00134006969526,146
"TCGA-02-2483","Primary Tumor",5821,6.50684426967711,50
"TCGA-02-2483","Primary Tumor",5815,7.05550874687042,50
"TCGA-02-2485","Primary Tumor",18591,8.80509898112924,127
"TCGA-02-2485","Primary Tumor",18925,8.29909175122544,127
"TCGA-02-2486","Primary Tumor",8871,8.09039797005275,139
"TCGA-06-0125","Recurrent Tumor",22213,9.23321834739393,155
"TCGA-06-0125","Primary Tumor",14321,7.66209048195314,155
"TCGA-06-0125","Primary Tumor",17695,8.49435442113987,155
"TCGA-06-0129","Primary Tumor",9349,7.4557200402971,42
"TCGA-06-0130","Primary Tumor",2623,6.02800475192612,28
"TCGA-06-0132","Primary Tumor",7423,7.73259407286099,24
"TCGA-06-0132","Primary Tumor",6145,7.36277768317063,24
"TCGA-06-0138","Primary Tumor",3326,6.83626911418136,NA
"TCGA-06-0138","Primary Tumor",5110,7.13557719730232,NA
"TCGA-06-0139","Primary Tumor",841,6.10570850275723,3
"TCGA-06-0139","Primary Tumor",2434,5.82367658440703,3
"TCGA-06-0140","Primary Tumor",13162,7.54138491618678,40
"TCGA-06-0141","Primary Tumor",2995,5.88209371260414,15
"TCGA-06-0141","Primary Tumor",4586,6.67716766212581,15
"TCGA-06-0145","Primary Tumor",6873,6.93630963359057,203
"TCGA-06-0152","Primary Tumor",2656,5.84309839165482,191
"TCGA-06-0152","Recurrent Tumor",7926,7.39972364434234,191
"TCGA-06-0154","Primary Tumor",3879,6.44495935441765,57
"TCGA-06-0155","Primary Tumor",2780,5.22550306285517,73
"TCGA-06-0156","Primary Tumor",7357,7.34200693074939,NA
"TCGA-06-0156","Primary Tumor",8519,7.59754949372685,NA
"TCGA-06-0156","Primary Tumor",10613,7.51487852928305,NA
"TCGA-06-0157","Primary Tumor",12731,7.86160270774998,55
"TCGA-06-0157","Primary Tumor",14587,8.4151335157364,55
"TCGA-06-0158","Primary Tumor",22006,8.80520157409447,55
"TCGA-06-0158","Primary Tumor",19753,8.17183928727476,55
"TCGA-06-0162","Primary Tumor",4403,6.993530715364,NA
"TCGA-06-0166","Primary Tumor",5811,6.57254083986344,43
"TCGA-06-0167","Primary Tumor",5642,6.94407381207177,NA
"TCGA-06-0168","Primary Tumor",3626,8.20392498941548,45
"TCGA-06-0169","Primary Tumor",2412,6.07511132643877,52
"TCGA-06-0171","Primary Tumor",7634,7.5436285949894,87
"TCGA-06-0171","Recurrent Tumor",11293,8.13714092867356,87
"TCGA-06-0174","Primary Tumor",8912,7.41020114984249,71
"TCGA-06-0174","Primary Tumor",10184,8.02579120600875,71
"TCGA-06-0176","Primary Tumor",11070,8.47897841524771,NA
"TCGA-06-0178","Primary Tumor",5689,7.63962327861043,NA
"TCGA-06-0184","Primary Tumor",8210,7.69792262453583,58
"TCGA-06-0184","Primary Tumor",12945,7.3146534530753,58
"TCGA-06-0185","Primary Tumor",8678,7.77779241246301,78
"TCGA-06-0187","Primary Tumor",7395,7.68978865495043,43
"TCGA-06-0187","Primary Tumor",7257,7.23770724011411,43
"TCGA-06-0190","Recurrent Tumor",7082,7.73742909609814,164
"TCGA-06-0190","Primary Tumor",11610,8.23044945534811,164
"TCGA-06-0190","Primary Tumor",13731,7.74975380950739,164
"TCGA-06-0192","Primary Tumor",5313,6.48473751261153,72
"TCGA-06-0195","Primary Tumor",7378,7.41059016012409,72
"TCGA-06-0197","Primary Tumor",5163,7.23566567831586,NA
"TCGA-06-0208","Primary Tumor",9801,7.43598842639281,NA
"TCGA-06-0210","Recurrent Tumor",11426,8.15528612100643,129
"TCGA-06-0210","Primary Tumor",6817,7.30724545232951,129
"TCGA-06-0210","Primary Tumor",5565,6.81950466640337,129
"TCGA-06-0211","Primary Tumor",4091,6.81314149308744,118
"TCGA-06-0211","Primary Tumor",7617,7.57012213035481,118
"TCGA-06-0211","Recurrent Tumor",5170,7.09241450517678,118
"TCGA-06-0211","Primary Tumor",7278,7.26900996264895,118
"TCGA-06-0214","Primary Tumor",7503,7.03699428100701,70
"TCGA-06-0216","Primary Tumor",14970,8.05899845791534,65
"TCGA-06-0219","Primary Tumor",7813,7.78116400580182,41
"TCGA-06-0219","Primary Tumor",6365,7.49659885642234,41
"TCGA-06-0221","Recurrent Tumor",8408,7.72261978457631,85
"TCGA-06-0238","Primary Tumor",8032,7.69949860068267,43
"TCGA-06-0238","Primary Tumor",7821,7.39231261144802,43
"TCGA-06-0644","Primary Tumor",9233,7.9316029002701,61
"TCGA-06-0644","Primary Tumor",10824,8.13396502047902,61
"TCGA-06-0645","Primary Tumor",8249,7.76663035483624,57
"TCGA-06-0645","Primary Tumor",6451,7.1656379540723,57
"TCGA-06-0646","Primary Tumor",7969,7.49805114546324,35
"TCGA-06-0646","Primary Tumor",7020,7.03693197520722,35
"TCGA-06-0648","Primary Tumor",6204,6.88647581672071,121
"TCGA-06-0649","Primary Tumor",7082,7.29143282049656,195
"TCGA-06-0649","Primary Tumor",7960,7.72749558317968,195
"TCGA-06-0675","Solid Tissue Normal",8230,7.82735420791727,NA
"TCGA-06-0678","Solid Tissue Normal",7012,7.67515151698664,NA
"TCGA-06-0680","Solid Tissue Normal",9032,7.74373872428794,NA
"TCGA-06-0681","Solid Tissue Normal",7569,7.64647892024413,NA
"TCGA-06-0686","Primary Tumor",3274,7.17457158681102,153
"TCGA-06-0686","Primary Tumor",7586,6.70437052841666,153
"TCGA-06-0743","Primary Tumor",13086,8.28064294554091,98
"TCGA-06-0743","Primary Tumor",7547,7.19083040283131,98
"TCGA-06-0744","Primary Tumor",9941,7.96412534762523,164
