"barcode","SampleType","RawCount","logCPM"
"TCGA-CQ-6221","Primary Tumor",5579,6.7825248217833
"TCGA-IQ-7631","Primary Tumor",15701,8.31748836497782
"TCGA-CV-7406","Primary Tumor",40237,9.20597507045191
"TCGA-DQ-7589","Primary Tumor",19144,7.82223469070476
"TCGA-CN-6021","Primary Tumor",45446,9.87314264526911
"TCGA-CN-4741","Primary Tumor",41000,8.95577860950598
"TCGA-F7-A620","Primary Tumor",31784,9.3866290446388
"TCGA-CV-5431","Primary Tumor",20926,8.7327126156243
"TCGA-CV-7424","Primary Tumor",13091,7.42590437445193
"TCGA-CN-4737","Primary Tumor",31503,9.01781435499602
"TCGA-CQ-A4CH","Primary Tumor",18897,8.3094966230048
"TCGA-CV-7427","Primary Tumor",61792,10.0641911078557
"TCGA-CV-7261","Solid Tissue Normal",47875,9.72138627478936
"TCGA-CV-7261","Primary Tumor",28182,9.05074026087992
"TCGA-CV-7245","Primary Tumor",45450,9.62318084222505
"TCGA-CV-7245","Solid Tissue Normal",14814,7.90943881043604
"TCGA-CV-5966","Primary Tumor",52756,9.83941451685429
"TCGA-CQ-6229","Primary Tumor",53978,9.73824116366102
"TCGA-CV-A45Q","Primary Tumor",26456,10.1631955515063
"TCGA-D6-A6EQ","Primary Tumor",31037,9.82514594480417
"TCGA-UF-A7JD","Primary Tumor",10430,7.95397058683369
"TCGA-CV-6951","Primary Tumor",38068,9.5293994512889
"TCGA-CR-6478","Primary Tumor",34817,8.83176567594584
"TCGA-BB-4228","Primary Tumor",29162,8.86848444786175
"TCGA-BA-4078","Primary Tumor",29928,7.92522105081316
"TCGA-CX-7082","Primary Tumor",40455,9.01403980293366
"TCGA-CQ-6219","Primary Tumor",27971,8.90471143256831
"TCGA-CV-6433","Primary Tumor",40058,9.38310170979203
"TCGA-CR-7404","Primary Tumor",22355,7.97261982219008
"TCGA-CR-7394","Primary Tumor",21334,9.27162424599087
"TCGA-CQ-7072","Primary Tumor",16141,7.95257702087917
"TCGA-CN-5374","Primary Tumor",28641,8.94088140116876
"TCGA-IQ-A61E","Primary Tumor",33178,9.43773021467606
"TCGA-CV-7095","Primary Tumor",17665,8.83177565849118
"TCGA-T3-A92M","Primary Tumor",18295,8.17696076508268
"TCGA-CV-5432","Primary Tumor",18467,8.98176549562768
"TCGA-CV-5434","Primary Tumor",13725,7.58674398303492
"TCGA-CQ-5331","Primary Tumor",48284,9.3352353416772
"TCGA-QK-A6V9","Primary Tumor",33363,8.85209734753506
"TCGA-CV-7183","Solid Tissue Normal",26691,9.57519976391952
"TCGA-CR-7379","Primary Tumor",41539,9.51112691089511
"TCGA-CQ-A4CE","Primary Tumor",25448,9.1155750314304
"TCGA-CV-7430","Primary Tumor",123533,11.1300900880115
"TCGA-CQ-6222","Primary Tumor",27188,9.20147797033091
"TCGA-CV-5978","Primary Tumor",14078,8.34540990830205
"TCGA-CV-6939","Primary Tumor",43558,9.15894132253547
"TCGA-CV-6939","Solid Tissue Normal",3184,6.56729055092035
"TCGA-H7-A6C4","Solid Tissue Normal",12600,8.74947487086328
"TCGA-C9-A480","Primary Tumor",29046,9.14084034089851
"TCGA-CR-7382","Primary Tumor",32935,8.87368228923743
"TCGA-IQ-7630","Primary Tumor",41686,9.20003237320118
"TCGA-D6-A74Q","Primary Tumor",33484,8.99882748146568
"TCGA-D6-A6EN","Primary Tumor",28045,9.58624837665783
"TCGA-D6-6823","Primary Tumor",49811,9.24957252116505
"TCGA-CR-7374","Primary Tumor",30044,8.69219223302383
"TCGA-BB-A5HU","Primary Tumor",39646,9.40733952045171
"TCGA-CV-7423","Solid Tissue Normal",39741,9.69695337163345
"TCGA-T2-A6X0","Primary Tumor",37974,8.83068465015108
"TCGA-BB-A6UO","Primary Tumor",26337,9.56983334774663
"TCGA-CR-6470","Primary Tumor",27781,8.64530810432739
"TCGA-CV-7425","Primary Tumor",24327,9.05280445615172
"TCGA-IQ-A61J","Primary Tumor",29841,9.03385009624064
"TCGA-CV-7425","Solid Tissue Normal",27490,9.26889242070406
"TCGA-CV-A6K0","Primary Tumor",17243,8.30909360074978
"TCGA-DQ-7592","Primary Tumor",40232,9.1085208951785
"TCGA-CQ-6224","Primary Tumor",22804,8.4770566703553
"TCGA-CQ-A4CA","Primary Tumor",31640,9.52499680706245
"TCGA-CQ-5326","Primary Tumor",57180,9.89198076475871
"TCGA-CV-A460","Primary Tumor",25009,8.91003915388527
"TCGA-CV-7421","Primary Tumor",28357,8.87819510356493
"TCGA-CQ-6228","Primary Tumor",33889,8.90600525875327
"TCGA-IQ-A61I","Primary Tumor",16439,8.10224192137329
"TCGA-CN-4740","Primary Tumor",22022,8.47524684968473
"TCGA-HD-7753","Primary Tumor",27820,8.70639622126341
"TCGA-D6-6516","Primary Tumor",39775,9.56718555469998
"TCGA-H7-A6C4","Primary Tumor",42934,9.90896517948756
"TCGA-CQ-A4CG","Primary Tumor",24295,8.73488998098767
"TCGA-CR-7399","Primary Tumor",21487,8.09806556701857
