"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-4P-AA8J","Primary Tumor",14690,8.31549119658556,156,379.333333333333,642
"TCGA-BA-4074","Primary Tumor",21291,8.28165102835568,53,246,1088
"TCGA-BA-4075","Primary Tumor",21376,8.94765921061182,13,34.3333333333333,982
"TCGA-BA-4076","Primary Tumor",24828,9.13048714600505,12.5,108.666666666667,348
"TCGA-BA-4077","Primary Tumor",31736,9.45839904192558,548,649.666666666667,2927
"TCGA-BA-4078","Primary Tumor",29928,7.92522105081316,366,589,3431
"TCGA-BA-5149","Primary Tumor",59082,9.92607220048989,240,312.666666666667,1292
"TCGA-BA-5151","Primary Tumor",43029,9.11890867170337,304.5,623,5954
"TCGA-BA-5152","Primary Tumor",24299,8.42288037463407,963.5,1545.66666666667,4108
"TCGA-BA-5153","Primary Tumor",37567,9.50413039463446,1369,1565.33333333333,4481
"TCGA-BA-5555","Primary Tumor",24559,8.53912274052831,366.5,389.666666666667,1670
"TCGA-BA-5556","Primary Tumor",48540,9.73603086806901,1963,1864,6286
"TCGA-BA-5557","Primary Tumor",40008,9.75304930884953,409.5,436,6148
"TCGA-BA-5558","Primary Tumor",35591,9.469686476201,462,484.333333333333,3255
"TCGA-BA-5559","Primary Tumor",27310,8.09375565206184,4174,3576.66666666667,15802
"TCGA-BA-6868","Primary Tumor",63756,9.5880217479537,85,163,497
"TCGA-BA-6869","Primary Tumor",33563,9.06303069821274,199.5,343.333333333333,756
"TCGA-BA-6870","Primary Tumor",30766,8.90011632526077,111.5,523,1440
"TCGA-BA-6871","Primary Tumor",19197,7.67982244357565,664.5,860.333333333333,2405
"TCGA-BA-6872","Primary Tumor",16530,8.82369864329831,75,147.666666666667,399
"TCGA-BA-6873","Primary Tumor",18786,8.98046405971838,215.5,243,777
"TCGA-BA-7269","Primary Tumor",18249,8.53558187070889,85.5,261,146
"TCGA-BA-A4IF","Primary Tumor",25320,8.83718947711493,29.5,65.6666666666667,367
"TCGA-BA-A4IG","Primary Tumor",46664,9.6626560653351,293.5,579.333333333333,3186
"TCGA-BA-A4IH","Primary Tumor",30895,8.65057542526526,815.5,525.666666666667,2063
"TCGA-BA-A4II","Primary Tumor",27017,8.94215345845212,152,393,1593
"TCGA-BA-A6D8","Primary Tumor",16309,8.61401903044297,24,91.3333333333333,77
"TCGA-BA-A6DA","Primary Tumor",38584,10.7728121246749,74.5,104.666666666667,120
"TCGA-BA-A6DB","Primary Tumor",12995,9.12714572004923,486.5,637.666666666667,1756
"TCGA-BA-A6DD","Primary Tumor",21140,8.8741405649154,749.5,821,1172
"TCGA-BA-A6DE","Primary Tumor",56778,9.73241153939541,139.5,232,716
"TCGA-BA-A6DG","Primary Tumor",29302,9.11914853092872,255.5,344.666666666667,2029
"TCGA-BA-A6DI","Primary Tumor",41313,9.30950386304147,162.5,174.333333333333,524
"TCGA-BA-A6DJ","Primary Tumor",43773,9.83520362505099,533.5,671,1532
"TCGA-BA-A6DL","Primary Tumor",45967,9.64603234410947,133,220,501
"TCGA-BA-A8YP","Primary Tumor",22317,8.55211307030406,25.5,144,737
"TCGA-BB-4217","Primary Tumor",67595,9.82235272723573,613,3331,16911
"TCGA-BB-4223","Primary Tumor",27344,8.76864409285145,1503.5,1039,5851
"TCGA-BB-4224","Primary Tumor",26717,8.52870253130198,63,104.333333333333,434
"TCGA-BB-4225","Primary Tumor",25670,8.65754516731405,1717,2150.66666666667,4406
"TCGA-BB-4227","Primary Tumor",24456,8.96552406300563,55.5,47.3333333333333,480
"TCGA-BB-4228","Primary Tumor",29162,8.86848444786175,388,411,1756
"TCGA-BB-7861","Primary Tumor",28988,8.48518249412567,4634,4654,29162
"TCGA-BB-7862","Primary Tumor",31014,8.89312784443954,68.5,110.666666666667,1260
"TCGA-BB-7863","Primary Tumor",28876,9.22559455258836,58.5,129.666666666667,435
"TCGA-BB-7864","Primary Tumor",36513,9.25250011513493,37,73,241
"TCGA-BB-7866","Primary Tumor",22561,8.34396511549047,637.5,781.333333333333,5844
"TCGA-BB-7870","Primary Tumor",26992,9.1711207125656,166,247,366
"TCGA-BB-7871","Primary Tumor",34811,8.85516831812447,99.5,307,1648
"TCGA-BB-7872","Primary Tumor",50709,9.85516718976895,283,373,1451
"TCGA-BB-8596","Primary Tumor",15290,8.55546619375058,100.5,230,2286
"TCGA-BB-8601","Primary Tumor",15082,8.61732136406245,14,41.3333333333333,93
"TCGA-BB-A5HU","Primary Tumor",39646,9.40733952045171,77,197.333333333333,1016
"TCGA-BB-A5HY","Primary Tumor",21995,8.62653114777538,54,139.333333333333,308
"TCGA-BB-A5HZ","Primary Tumor",26454,9.24230882643832,30,88,284
"TCGA-BB-A6UM","Primary Tumor",42418,9.37734626069173,1198.5,1079.66666666667,1203
"TCGA-BB-A6UO","Primary Tumor",26337,9.56983334774663,54,71,360
"TCGA-C9-A47Z","Primary Tumor",24701,9.17240548289712,101.5,125.333333333333,533
"TCGA-C9-A480","Primary Tumor",29046,9.14084034089851,276.5,238,993
"TCGA-CN-4722","Primary Tumor",28692,9.17419844022775,193,385.666666666667,1618
"TCGA-CN-4723","Primary Tumor",39869,8.99333970427035,392.5,540,2858
"TCGA-CN-4725","Primary Tumor",39091,9.1296699022223,42.5,93.6666666666667,512
"TCGA-CN-4726","Primary Tumor",29685,9.75108946858751,46.5,77.3333333333333,1275
"TCGA-CN-4727","Primary Tumor",19245,8.75156306209094,8.5,47.6666666666667,233
"TCGA-CN-4728","Primary Tumor",20173,8.47025819385071,350.5,729.333333333333,5470
