"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-3Z-A93Z","Primary Tumor",41937,10.1769687597021,260,237.333333333333,1060
"TCGA-6D-AA2E","Primary Tumor",20088,8.9544468656169,377.5,288.666666666667,1285
"TCGA-A3-3306","Primary Tumor",24343,9.1844166482861,235.5,306.333333333333,3436
"TCGA-A3-3307","Primary Tumor",45882,9.86248248143998,1127,635,4728
"TCGA-A3-3308","Primary Tumor",22259,8.62977386134954,289.5,291,3432
"TCGA-A3-3311","Primary Tumor",39790,9.234546082151,1126,849.666666666667,7350
"TCGA-A3-3313","Primary Tumor",12469,7.62222786342869,66,99.3333333333333,2210
"TCGA-A3-3316","Primary Tumor",8471,7.72850816200089,192.5,161.333333333333,2947
"TCGA-A3-3317","Primary Tumor",16200,7.83274670237165,1055,730.333333333333,5997
"TCGA-A3-3319","Primary Tumor",34744,9.05221054277494,715.5,542.333333333333,5467
"TCGA-A3-3320","Primary Tumor",41625,9.15689101217291,583.5,499,4795
"TCGA-A3-3322","Primary Tumor",31316,9.18153877026691,120.5,148.333333333333,2485
"TCGA-A3-3323","Primary Tumor",19040,8.4039561362838,548.5,605.666666666667,6627
"TCGA-A3-3324","Primary Tumor",62409,9.85047284974425,1513,995,6489
"TCGA-A3-3325","Primary Tumor",48916,9.06354205183616,391.5,833.333333333333,6265
"TCGA-A3-3326","Primary Tumor",23189,9.69617844325522,214,544.666666666667,3743
"TCGA-A3-3328","Primary Tumor",66985,9.9486277524313,12.5,18,1378
"TCGA-A3-3329","Primary Tumor",39835,9.49085344997173,840,951.333333333333,5941
"TCGA-A3-3331","Primary Tumor",53181,9.47107940067744,952,727,7752
"TCGA-A3-3335","Primary Tumor",32864,9.11693355942404,302,504.666666666667,3680
"TCGA-A3-3343","Primary Tumor",50837,9.72637184594315,386.5,822.333333333333,6722
"TCGA-A3-3346","Primary Tumor",14688,8.1147834813736,919.5,596,3774
"TCGA-A3-3347","Primary Tumor",15540,8.01650630241298,772.5,841.666666666667,9618
"TCGA-A3-3349","Primary Tumor",33906,9.18349839502246,582,382.666666666667,3550
"TCGA-A3-3351","Primary Tumor",37565,9.20818020717143,3233.5,1411.66666666667,10360
"TCGA-A3-3352","Primary Tumor",65093,9.42757381852495,437,882.333333333333,8173
"TCGA-A3-3357","Primary Tumor",56330,9.67412382040089,1930,1188.33333333333,6673
"TCGA-A3-3358","Primary Tumor",34225,8.74926741156263,2358,1664,10083
"TCGA-A3-3358","Primary Tumor",34225,8.74926741156263,87.5,84.6666666666667,803
"TCGA-A3-3358","Solid Tissue Normal",20445,8.78494458084216,2358,1664,10083
"TCGA-A3-3358","Solid Tissue Normal",20445,8.78494458084216,87.5,84.6666666666667,803
"TCGA-A3-3359","Primary Tumor",32196,9.18180538616448,1675.5,934.666666666667,5480
