"barcode","SampleType","RawCount","logCPM"
"TCGA-5P-A9K4","Primary Tumor",65499,10.3431961158655
"TCGA-P4-A5E7","Primary Tumor",67799,10.1498662502144
"TCGA-G7-A8LD","Primary Tumor",48955,9.42971895207262
"TCGA-IA-A83T","Primary Tumor",67177,10.2971362335849
"TCGA-2Z-A9JK","Primary Tumor",56713,9.76258413790483
"TCGA-UZ-A9PU","Primary Tumor",88414,10.4580278255857
"TCGA-UZ-A9PL","Primary Tumor",63735,10.0991808888988
"TCGA-KV-A6GE","Primary Tumor",80352,10.469131555479
"TCGA-4A-A93X","Primary Tumor",50637,10.0727779557264
"TCGA-B3-4104","Primary Tumor",25668,9.1740039409137
"TCGA-B9-4114","Primary Tumor",77039,10.3281907564096
"TCGA-KV-A6GD","Primary Tumor",52331,9.96930197965714
"TCGA-B9-A5W7","Primary Tumor",115554,10.9137005720421
"TCGA-AL-3471","Primary Tumor",25971,9.44707185469591
"TCGA-A4-8515","Primary Tumor",99898,10.8872267107103
"TCGA-G7-6790","Primary Tumor",134374,11.0426987775584
"TCGA-BQ-5890","Primary Tumor",41971,9.52691510550091
"TCGA-MH-A55Z","Primary Tumor",66992,10.5942348382568
"TCGA-B3-8121","Primary Tumor",34675,9.54850728039225
"TCGA-2Z-A9JS","Primary Tumor",102307,10.4475705900932
"TCGA-BQ-5884","Primary Tumor",75851,9.89810226940658
"TCGA-A4-8517","Primary Tumor",89327,11.0329157366974
"TCGA-GL-7966","Primary Tumor",22232,8.42912097460925
"TCGA-2Z-A9JL","Primary Tumor",47710,9.79855699418231
"TCGA-SX-A71S","Primary Tumor",94477,10.5141081958163
"TCGA-BQ-5888","Primary Tumor",19933,8.68175610205293
"TCGA-DW-7837","Primary Tumor",85374,10.9951290168887
"TCGA-DW-7840","Primary Tumor",66574,10.5155183583426
"TCGA-BQ-7055","Solid Tissue Normal",31141,8.95338771724805
"TCGA-BQ-7055","Primary Tumor",56961,10.7360798106567
"TCGA-B1-A47O","Primary Tumor",28477,9.51324222900053
"TCGA-BQ-7049","Primary Tumor",67417,10.2028000970001
"TCGA-DW-7838","Primary Tumor",63630,10.2831024439017
"TCGA-DZ-6134","Primary Tumor",127104,10.7886211009095
"TCGA-A4-7584","Primary Tumor",107646,10.9892811232952
"TCGA-DW-5561","Primary Tumor",147120,11.132333941864
"TCGA-A4-7734","Primary Tumor",129182,10.6788680331395
"TCGA-A4-A7UZ","Primary Tumor",33694,9.35707698528032
"TCGA-SX-A7SR","Primary Tumor",65242,10.3555945420267
"TCGA-DW-7839","Primary Tumor",188166,11.4078413742641
"TCGA-AL-A5DJ","Primary Tumor",13011,8.40582783439256
"TCGA-BQ-5880","Primary Tumor",26491,9.90271993953475
"TCGA-UZ-A9PP","Primary Tumor",121379,10.8680877511993
"TCGA-B9-5156","Primary Tumor",71612,10.3204555400696
"TCGA-BQ-5887","Solid Tissue Normal",57257,9.66517402719001
"TCGA-Y8-A8S1","Primary Tumor",21984,9.61536032862317
