"barcode","SampleType","RawCount","logCPM"
"TCGA-DD-AACI","Primary Tumor",1359,5.82966356077471
"TCGA-UB-AA0V","Primary Tumor",2476,6.21284809193323
"TCGA-G3-AAV3","Primary Tumor",1546,4.93269388211191
"TCGA-EP-A3RK","Primary Tumor",2692,5.56823783172846
"TCGA-2Y-A9H9","Primary Tumor",1586,4.8656688517404
"TCGA-MI-A75H","Primary Tumor",706,4.12518998362366
"TCGA-BC-A8YO","Primary Tumor",12102,7.30142882165073
"TCGA-GJ-A3OU","Primary Tumor",4882,6.77610848005595
"TCGA-G3-AAV1","Primary Tumor",1867,5.09865630666638
"TCGA-DD-AAEB","Primary Tumor",303,3.49437997445338
"TCGA-EP-A3RK","Solid Tissue Normal",2940,6.52891577713016
"TCGA-RC-A7S9","Primary Tumor",5567,6.7112681173204
"TCGA-G3-A25V","Primary Tumor",2781,5.90675624122158
"TCGA-CC-A9FS","Primary Tumor",1779,5.10920008210556
"TCGA-UB-A7MC","Primary Tumor",9216,6.84962048700303
"TCGA-G3-AAV7","Primary Tumor",11099,7.37905346752463
"TCGA-BC-A10Y","Primary Tumor",4482,6.00552014471788
"TCGA-DD-AACB","Primary Tumor",727,4.4787300357541
"TCGA-CC-5259","Primary Tumor",4055,7.6197114530714
"TCGA-CC-5258","Primary Tumor",4291,6.02738123969711
"TCGA-BC-A5W4","Primary Tumor",2741,6.19800082778689
"TCGA-BC-A10Z","Primary Tumor",2614,5.30969890659488
"TCGA-DD-A4NO","Primary Tumor",2195,5.40613481411415
"TCGA-KR-A7K7","Primary Tumor",2677,5.80898880069134
"TCGA-O8-A75V","Primary Tumor",3605,6.17776973861561
"TCGA-DD-A4NG","Primary Tumor",1229,4.63396783445145
"TCGA-DD-A3A1","Solid Tissue Normal",2244,6.30777644285025
"TCGA-G3-A6UC","Primary Tumor",787,3.88801830788552
"TCGA-CC-A3M9","Primary Tumor",11822,7.3219285533009
"TCGA-DD-AADI","Primary Tumor",2577,5.86291694954932
"TCGA-DD-AADO","Primary Tumor",3662,6.57326913009195
"TCGA-CC-5263","Primary Tumor",12307,7.15461244675977
"TCGA-MI-A75C","Primary Tumor",3406,6.15272424325008
"TCGA-DD-A4ND","Primary Tumor",3101,5.63537355773074
"TCGA-CC-A9FV","Primary Tumor",5643,6.73712053875011
"TCGA-BW-A5NQ","Primary Tumor",6394,6.60433696028595
"TCGA-DD-A1EH","Primary Tumor",1079,3.86015116691687
"TCGA-ED-A7XP","Primary Tumor",3519,5.93929852847144
"TCGA-2Y-A9H2","Primary Tumor",15025,7.76321250865614
"TCGA-CC-A8HS","Primary Tumor",4914,6.14581492685803
"TCGA-CC-A7IK","Primary Tumor",2060,5.11977292554591
"TCGA-CC-A7IH","Primary Tumor",1498,4.61409598652276
"TCGA-DD-AADU","Primary Tumor",2284,6.06412363811286
"TCGA-2Y-A9GV","Primary Tumor",2798,6.11358256873672
"TCGA-FV-A2QR","Solid Tissue Normal",6831,7.27054562197285
"TCGA-5R-AA1D","Primary Tumor",6838,7.26414251493422
"TCGA-FV-A2QQ","Primary Tumor",1497,4.94189337972394
"TCGA-CC-A7IF","Primary Tumor",2747,5.81323170968643
"TCGA-DD-A39V","Solid Tissue Normal",2832,6.58419429184047
"TCGA-DD-A73E","Primary Tumor",1335,4.72855012550052
"TCGA-DD-AAE9","Primary Tumor",187,2.88144478260668
"TCGA-XR-A8TC","Primary Tumor",5407,6.55515620438596
"TCGA-ED-A7PX","Primary Tumor",6978,6.88837091471312
"TCGA-G3-A7M8","Primary Tumor",3613,6.43241242065985
"TCGA-DD-A4NP","Primary Tumor",5660,6.47743624816569
"TCGA-G3-A25X","Primary Tumor",7994,7.08255780483583
"TCGA-DD-A11C","Solid Tissue Normal",1312,6.2039590348904
"TCGA-ED-A5KG","Primary Tumor",10096,7.2059082577087
"TCGA-FV-A2QR","Primary Tumor",937,4.28139335118801
"TCGA-DD-AACY","Primary Tumor",862,4.473757550994
"TCGA-CC-A7IJ","Primary Tumor",9857,6.86055116662288
"TCGA-2Y-A9GX","Primary Tumor",3854,6.25420125713511
"TCGA-G3-AAUZ","Primary Tumor",5520,7.3141795897851
"TCGA-DD-AACK","Primary Tumor",5637,5.69153835271463
"TCGA-DD-A3A5","Solid Tissue Normal",3127,6.80870529178409
"TCGA-DD-A3A5","Primary Tumor",3207,6.25371825475831
"TCGA-CC-A123","Primary Tumor",3758,6.80278872198726
"TCGA-DD-AACC","Primary Tumor",3523,6.64609620004607
"TCGA-FV-A23B","Solid Tissue Normal",3772,6.27830132549959
"TCGA-RG-A7D4","Primary Tumor",5165,6.67880358853805
"TCGA-CC-5262","Primary Tumor",2231,5.54610746376717
"TCGA-DD-AADK","Primary Tumor",5272,6.20578010575024
"TCGA-MI-A75E","Primary Tumor",3060,6.01283999228131
"TCGA-DD-AADA","Primary Tumor",5396,6.98382181556121
"TCGA-BC-A10U","Solid Tissue Normal",8185,7.79006476070812
"TCGA-MI-A75I","Primary Tumor",1419,4.77851712538744
"TCGA-G3-A7M7","Primary Tumor",4630,6.94751693085087
"TCGA-2Y-A9GU","Primary Tumor",2964,6.23145292741119
"TCGA-DD-AAD3","Primary Tumor",1414,4.95576248143386
"TCGA-DD-A3A6","Solid Tissue Normal",1359,6.06885851403897
"TCGA-FV-A3I1","Primary Tumor",3746,6.08391424025407
"TCGA-2Y-A9HA","Primary Tumor",4633,5.95152892041303
"TCGA-ZS-A9CD","Primary Tumor",2079,5.66413010780971
"TCGA-DD-A1EB","Primary Tumor",1546,5.09533057838726
"TCGA-DD-A1EB","Solid Tissue Normal",3137,6.09610739724679
"TCGA-DD-AAD5","Primary Tumor",7807,6.881095210429
"TCGA-WQ-AB4B","Primary Tumor",981,5.0998749135636
"TCGA-DD-A3A6","Primary Tumor",21326,8.8863234026848
"TCGA-T1-A6J8","Primary Tumor",1899,5.31462999612513
"TCGA-FV-A3I1","Solid Tissue Normal",1682,5.59261835798254
"TCGA-DD-A4NV","Primary Tumor",1566,4.60743346685676
"TCGA-DD-AADF","Primary Tumor",1205,5.09662340531981
"TCGA-UB-A7MA","Primary Tumor",8046,6.96476180134057
"TCGA-DD-AACP","Primary Tumor",1913,5.33408187753371
"TCGA-ZP-A9CY","Primary Tumor",2757,5.95579389503233
"TCGA-FV-A4ZQ","Primary Tumor",4141,6.10191292350681
"TCGA-DD-A39X","Solid Tissue Normal",2415,5.97158454088387
"TCGA-FV-A23B","Primary Tumor",2150,5.04385748589509
"TCGA-2Y-A9H1","Primary Tumor",1260,5.52046760474699
"TCGA-DD-A114","Primary Tumor",5929,7.0778208568342
"TCGA-DD-AAEH","Primary Tumor",1038,4.75508892278268
"TCGA-WX-AA46","Primary Tumor",1328,4.72942572259145
"TCGA-LG-A9QC","Primary Tumor",2116,5.44859094609743
"TCGA-DD-A4NF","Primary Tumor",1540,4.90836873846444
"TCGA-BC-A10U","Primary Tumor",9464,7.0237002298882
"TCGA-FV-A4ZP","Primary Tumor",5052,6.93928056889544
"TCGA-MR-A8JO","Primary Tumor",5131,6.63097515852163
