"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-2V-A95S","Primary Tumor",4421,6.40481455440316,1707,1309.33333333333,2507
"TCGA-2Y-A9GS","Primary Tumor",4866,6.21116972847762,54,164.666666666667,831
"TCGA-2Y-A9GT","Primary Tumor",4485,6.83714251597442,725,519.666666666667,1632
"TCGA-2Y-A9GU","Primary Tumor",2964,6.23145292741119,62,65.6666666666667,358
"TCGA-2Y-A9GV","Primary Tumor",2798,6.11358256873672,50,109.666666666667,690
"TCGA-2Y-A9GW","Primary Tumor",2610,5.89519925024376,33,286,1476
"TCGA-2Y-A9GX","Primary Tumor",3854,6.25420125713511,429.5,652.666666666667,3376
"TCGA-2Y-A9GY","Primary Tumor",7922,7.01224701920437,1087,926,1820
"TCGA-2Y-A9GZ","Primary Tumor",1399,4.82193543678006,20.5,45.3333333333333,183
"TCGA-2Y-A9H0","Primary Tumor",3273,6.03968597976516,713.5,383.333333333333,827
"TCGA-2Y-A9H1","Primary Tumor",1260,5.52046760474699,109.5,202.666666666667,140
"TCGA-2Y-A9H2","Primary Tumor",15025,7.76321250865614,155,172,806
"TCGA-2Y-A9H3","Primary Tumor",2707,6.51213241402474,196,371,387
"TCGA-2Y-A9H4","Primary Tumor",3283,6.50311750136288,57,83.6666666666667,213
"TCGA-2Y-A9H5","Primary Tumor",4048,6.31787164948609,93,215.333333333333,713
"TCGA-2Y-A9H6","Primary Tumor",4634,6.61677227036555,96,348.666666666667,947
"TCGA-2Y-A9H7","Primary Tumor",1603,4.94416279088436,46.5,234.333333333333,623
"TCGA-2Y-A9H8","Primary Tumor",2261,5.51135670929878,427.5,467.666666666667,818
"TCGA-2Y-A9H9","Primary Tumor",1586,4.8656688517404,109.5,98.3333333333333,418
"TCGA-2Y-A9HA","Primary Tumor",4633,5.95152892041303,11,69,467
"TCGA-2Y-A9HB","Primary Tumor",2911,5.81977910853508,440.5,420.666666666667,944
"TCGA-3K-AAZ8","Primary Tumor",3070,5.94714809462834,131,230,428
"TCGA-4R-AA8I","Primary Tumor",1019,4.1588019849517,39,62,553
"TCGA-5C-A9VG","Primary Tumor",3742,6.05558533314108,29.5,79.3333333333333,266
"TCGA-5C-A9VH","Primary Tumor",5621,6.86513284076643,49,138,281
"TCGA-5C-AAPD","Primary Tumor",4642,6.66007506816841,404,588.333333333333,769
"TCGA-5R-AA1C","Primary Tumor",566,4.48424843693718,75.5,45.6666666666667,314
