"barcode","SampleType","RawCount","logCPM"
"TCGA-HZ-A8P1","Primary Tumor",47856,10.3156686531203
"TCGA-FB-AAPS","Primary Tumor",14896,8.64707585655584
"TCGA-IB-AAUN","Primary Tumor",28264,9.40796341290681
"TCGA-3A-A9I7","Primary Tumor",34493,9.29932730423086
"TCGA-FB-AAPY","Primary Tumor",31432,9.43851337839098
"TCGA-2J-AABP","Primary Tumor",7143,7.46616313432682
"TCGA-2L-AAQM","Primary Tumor",8856,7.73633256465207
"TCGA-HZ-8519","Primary Tumor",23216,7.80571174998388
"TCGA-PZ-A5RE","Primary Tumor",47856,9.90134398634404
"TCGA-HZ-8002","Primary Tumor",19173,8.18721049384647
"TCGA-HZ-A77P","Primary Tumor",13052,7.74980425131854
"TCGA-US-A77E","Primary Tumor",42807,9.65317307713969
"TCGA-HV-A7OP","Primary Tumor",16334,9.5643751356823
"TCGA-2J-AAB6","Primary Tumor",52712,10.563652144351
"TCGA-IB-7645","Primary Tumor",21100,8.5799931392154
"TCGA-2J-AABF","Primary Tumor",39347,9.16535201897307
"TCGA-FB-AAPU","Primary Tumor",51124,9.83490394886476
"TCGA-RB-AA9M","Primary Tumor",49890,9.81485386971059
"TCGA-2J-AAB9","Primary Tumor",9285,8.77266642538817
"TCGA-HZ-A8P0","Primary Tumor",17831,8.93975020217852
"TCGA-L1-A7W4","Primary Tumor",63224,10.2256474105262
"TCGA-FB-A4P5","Primary Tumor",14614,8.78460513932385
"TCGA-IB-A5SO","Primary Tumor",76081,10.2957152775083
"TCGA-IB-7649","Primary Tumor",24492,9.54548794844803
"TCGA-US-A77J","Primary Tumor",20648,9.00500692923026
"TCGA-3A-A9IV","Primary Tumor",4593,6.88806859535418
"TCGA-3A-A9IR","Primary Tumor",6251,6.56308177627575
"TCGA-HZ-8638","Primary Tumor",42790,8.99342796876327
"TCGA-3A-A9IL","Primary Tumor",5797,6.87919512902458
"TCGA-F2-6880","Primary Tumor",4641,7.87809910424672
"TCGA-FB-A7DR","Primary Tumor",28820,9.20508156824357
"TCGA-XD-AAUI","Primary Tumor",40939,9.72395014052266
"TCGA-3A-A9IS","Primary Tumor",3809,6.31949592898026
"TCGA-IB-A5SS","Primary Tumor",67739,10.3610614706731
"TCGA-HZ-7924","Primary Tumor",69251,9.69947060565178
"TCGA-IB-7885","Primary Tumor",61363,9.93596136316497
"TCGA-FB-A545","Primary Tumor",37033,10.2058749663972
"TCGA-IB-AAUW","Primary Tumor",29093,8.83152110562244
"TCGA-S4-A8RO","Primary Tumor",73088,10.7117428044502
"TCGA-FB-AAQ6","Primary Tumor",11875,8.93817260032317
"TCGA-IB-A7LX","Primary Tumor",29363,9.12645456670528
"TCGA-3A-A9IO","Primary Tumor",12639,8.12248856585701
"TCGA-IB-A7M4","Primary Tumor",55726,10.3534599974426
"TCGA-3A-A9IU","Primary Tumor",53898,10.0421404931868
"TCGA-HV-A5A3","Primary Tumor",13610,8.86453724100375
"TCGA-HV-A5A3","Solid Tissue Normal",13725,8.3497378873998
"TCGA-IB-7886","Primary Tumor",42890,9.53788532774488
"TCGA-HV-AA8X","Primary Tumor",35182,9.4764505841503
"TCGA-S4-A8RM","Primary Tumor",29988,9.01810565151315
"TCGA-IB-AAUQ","Primary Tumor",23382,9.21269252058437
"TCGA-IB-AAUU","Primary Tumor",55691,10.0582842281672
"TCGA-3A-A9IZ","Primary Tumor",13283,8.84391941535022
"TCGA-HZ-7919","Primary Tumor",38948,9.45878820020759
"TCGA-IB-7897","Primary Tumor",15872,7.7871411428238
"TCGA-3A-A9IB","Primary Tumor",34929,9.31796896425055
"TCGA-IB-8127","Primary Tumor",49727,9.10525197286486
"TCGA-2J-AABU","Primary Tumor",14412,9.47538467049397
"TCGA-HV-AA8V","Primary Tumor",24829,8.96278275884426
"TCGA-IB-7652","Primary Tumor",82926,10.0931663396914
"TCGA-HV-A5A5","Primary Tumor",16590,8.66128925955512
"TCGA-3A-A9IH","Primary Tumor",49369,9.74625257652906
"TCGA-2L-AAQL","Primary Tumor",27376,9.69303328250266
"TCGA-HZ-A49H","Primary Tumor",19737,8.84213171151295
"TCGA-HZ-A4BH","Primary Tumor",45479,9.84857346247094
"TCGA-F2-A44G","Primary Tumor",47079,10.160043847286
"TCGA-Q3-AA2A","Primary Tumor",26813,9.6906197194937
"TCGA-IB-A5SQ","Primary Tumor",25522,9.06906290971141
"TCGA-HZ-A49G","Primary Tumor",23651,9.03124442249977
"TCGA-3A-A9IC","Primary Tumor",44192,9.94783105165036
"TCGA-HZ-8003","Primary Tumor",17759,8.54873302514749
"TCGA-IB-A6UF","Primary Tumor",20479,8.69690448058782
"TCGA-2J-AAB1","Primary Tumor",45656,10.024002710614
"TCGA-Z5-AAPL","Primary Tumor",30570,9.41290361225033
"TCGA-F2-A8YN","Primary Tumor",20885,9.00198368432295
"TCGA-H6-A45N","Solid Tissue Normal",16030,8.34479515594389
"TCGA-HZ-7922","Primary Tumor",48844,9.94497466868043
"TCGA-IB-AAUT","Primary Tumor",15856,8.60602409713236
"TCGA-H6-8124","Primary Tumor",67651,10.1584338033561
"TCGA-F2-6879","Primary Tumor",25457,8.53468079712493
"TCGA-FB-A4P6","Primary Tumor",14948,8.67112645291695
"TCGA-HZ-A9TJ","Metastatic",70912,10.3783140516087
"TCGA-HZ-A9TJ","Primary Tumor",69886,10.8052536642477
"TCGA-3A-A9IX","Primary Tumor",18468,8.2775765835187
"TCGA-HZ-8317","Primary Tumor",23609,8.88032671532666
"TCGA-2J-AABH","Primary Tumor",35319,9.44275479055944
"TCGA-3A-A9J0","Primary Tumor",48444,10.205447951555
"TCGA-XD-AAUH","Primary Tumor",15453,8.32141575051642
"TCGA-IB-7891","Primary Tumor",33762,9.33890148519679
"TCGA-XN-A8T3","Primary Tumor",16420,8.43851379953116
"TCGA-YB-A89D","Solid Tissue Normal",24498,9.09849036850509
"TCGA-IB-A5SP","Primary Tumor",32723,9.64103031806058
"TCGA-YY-A8LH","Primary Tumor",45398,9.77676475274033
"TCGA-2L-AAQJ","Primary Tumor",67059,10.6572120546712
"TCGA-FB-AAQ2","Primary Tumor",50411,10.0313663947751
"TCGA-FB-AAQ1","Primary Tumor",22139,8.98159991073139
"TCGA-XD-AAUG","Primary Tumor",8870,7.94185735520482
"TCGA-HZ-7923","Primary Tumor",23227,8.1489770784848
"TCGA-FB-AAPP","Primary Tumor",12330,8.73640830474615
"TCGA-H8-A6C1","Primary Tumor",26641,9.14362862070484
"TCGA-F2-7273","Primary Tumor",37055,8.92567622442194
"TCGA-HZ-7920","Primary Tumor",21924,8.19833425049312
"TCGA-3A-A9IJ","Primary Tumor",4560,6.73450585559111
"TCGA-HV-A7OL","Primary Tumor",31707,9.87086447672532
"TCGA-2J-AABO","Primary Tumor",15517,9.03851820119459
"TCGA-F2-7276","Primary Tumor",32349,8.95185795165236
"TCGA-HZ-8637","Primary Tumor",32610,8.51531759909675
"TCGA-3A-A9IN","Primary Tumor",6809,7.14340767770566
"TCGA-HZ-7918","Primary Tumor",18604,8.44564880609596
"TCGA-FB-A78T","Primary Tumor",56579,9.91131237425506
"TCGA-M8-A5N4","Primary Tumor",37583,9.91936350873296
"TCGA-2J-AABI","Primary Tumor",28731,8.79854540502187
"TCGA-IB-AAUO","Primary Tumor",35395,9.45182558425199
"TCGA-IB-7647","Primary Tumor",51060,9.29783695610793
"TCGA-2L-AAQA","Primary Tumor",41809,9.52800996705363
"TCGA-2L-AAQE","Primary Tumor",39058,9.71643568981091
"TCGA-2J-AABK","Primary Tumor",36385,9.27953392673125
"TCGA-HV-A5A4","Primary Tumor",30917,9.47460697919189
"TCGA-IB-7651","Primary Tumor",111792,10.5392000714978
"TCGA-HZ-8636","Primary Tumor",37641,8.9393813796941
"TCGA-IB-7893","Primary Tumor",44087,9.71888148942925
