"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-2J-AAB1","Primary Tumor",45656,10.024002710614,346.5,672.333333333333,1762
"TCGA-2J-AAB4","Primary Tumor",66618,10.2531229109784,405.5,481,1850
"TCGA-2J-AAB6","Primary Tumor",52712,10.563652144351,53,80.3333333333333,718
"TCGA-2J-AAB8","Primary Tumor",9282,8.4853769780876,96,147.333333333333,681
"TCGA-2J-AAB9","Primary Tumor",9285,8.77266642538817,166.5,184.333333333333,724
"TCGA-2J-AABA","Primary Tumor",10536,8.11648777992125,235.5,291,978
"TCGA-2J-AABE","Primary Tumor",14395,8.61144022384384,52.5,131,1285
"TCGA-2J-AABF","Primary Tumor",39347,9.16535201897307,596,802,5851
"TCGA-2J-AABH","Primary Tumor",35319,9.44275479055944,94,178.333333333333,1166
"TCGA-2J-AABI","Primary Tumor",28731,8.79854540502187,120.5,478.666666666667,2108
"TCGA-2J-AABK","Primary Tumor",36385,9.27953392673125,299,301.666666666667,1001
"TCGA-2J-AABO","Primary Tumor",15517,9.03851820119459,153.5,187.333333333333,751
"TCGA-2J-AABP","Primary Tumor",7143,7.46616313432682,656,631.666666666667,2762
"TCGA-2J-AABR","Primary Tumor",21792,9.18623224821898,722.5,882.666666666667,3567
"TCGA-2J-AABT","Primary Tumor",11224,8.27729582024496,218,352.333333333333,2412
"TCGA-2J-AABU","Primary Tumor",14412,9.47538467049397,133,172,555
"TCGA-2J-AABV","Primary Tumor",8823,9.26257086382314,107.5,90,114
"TCGA-2L-AAQA","Primary Tumor",41809,9.52800996705363,93.5,160.666666666667,885
"TCGA-2L-AAQE","Primary Tumor",39058,9.71643568981091,334.5,450.333333333333,1889
"TCGA-2L-AAQI","Primary Tumor",45495,9.93773662564554,215.5,151.333333333333,1120
"TCGA-2L-AAQJ","Primary Tumor",67059,10.6572120546712,187,340.333333333333,2226
"TCGA-2L-AAQL","Primary Tumor",27376,9.69303328250266,179.5,267.333333333333,556
"TCGA-2L-AAQM","Primary Tumor",8856,7.73633256465207,65,103,364
"TCGA-3A-A9I5","Primary Tumor",9991,7.99387891017146,64,174,464
"TCGA-3A-A9I7","Primary Tumor",34493,9.29932730423086,501,755,3810
"TCGA-3A-A9I9","Primary Tumor",18647,8.7710995584398,252,250,1307
"TCGA-3A-A9IB","Primary Tumor",34929,9.31796896425055,121,199.333333333333,1954
"TCGA-3A-A9IC","Primary Tumor",44192,9.94783105165036,113.5,196,790
"TCGA-3A-A9IH","Primary Tumor",49369,9.74625257652906,106.5,178,947
"TCGA-3A-A9IJ","Primary Tumor",4560,6.73450585559111,91.5,10.6666666666667,53
"TCGA-3A-A9IL","Primary Tumor",5797,6.87919512902458,86.5,124,692
"TCGA-3A-A9IN","Primary Tumor",6809,7.14340767770566,148.5,127,575
"TCGA-3A-A9IO","Primary Tumor",12639,8.12248856585701,63,66.3333333333333,384
"TCGA-3A-A9IR","Primary Tumor",6251,6.56308177627575,115,155,583
"TCGA-3A-A9IS","Primary Tumor",3809,6.31949592898026,30,8.66666666666667,143
"TCGA-3A-A9IU","Primary Tumor",53898,10.0421404931868,109.5,112.666666666667,899
"TCGA-3A-A9IV","Primary Tumor",4593,6.88806859535418,13.5,15.6666666666667,455
"TCGA-3A-A9IX","Primary Tumor",18468,8.2775765835187,902.5,1243.33333333333,7283
"TCGA-3A-A9IZ","Primary Tumor",13283,8.84391941535022,32,51.6666666666667,278
"TCGA-3A-A9J0","Primary Tumor",48444,10.205447951555,123.5,118.333333333333,927
"TCGA-3E-AAAY","Primary Tumor",29540,9.14690447152756,478.5,550.666666666667,3014
"TCGA-3E-AAAZ","Primary Tumor",36295,9.22081419988005,178,246.666666666667,1117
"TCGA-F2-6879","Primary Tumor",25457,8.53468079712493,181.5,333,2168
"TCGA-F2-6880","Primary Tumor",4641,7.87809910424672,63.5,39,206
"TCGA-F2-7273","Primary Tumor",37055,8.92567622442194,1368.5,1041.33333333333,16100
"TCGA-F2-7276","Primary Tumor",32349,8.95185795165236,788.5,1154,9599
"TCGA-F2-A44G","Primary Tumor",47079,10.160043847286,74,153.333333333333,1111
"TCGA-F2-A44H","Primary Tumor",4288,7.72267758474516,54.5,104.333333333333,1288
"TCGA-F2-A7TX","Primary Tumor",57132,10.2853643503804,1037.5,733.666666666667,4208
"TCGA-F2-A8YN","Primary Tumor",20885,9.00198368432295,65.5,97,822
"TCGA-FB-A4P5","Primary Tumor",14614,8.78460513932385,1246.5,1337,4727
"TCGA-FB-A4P6","Primary Tumor",14948,8.67112645291695,477,496,2357
"TCGA-FB-A545","Primary Tumor",37033,10.2058749663972,19.5,31,162
"TCGA-FB-A5VM","Primary Tumor",45579,10.0814075084757,467,607,952
"TCGA-FB-A78T","Primary Tumor",56579,9.91131237425506,202,277.333333333333,1461
"TCGA-FB-A7DR","Primary Tumor",28820,9.20508156824357,272.5,294,1307
"TCGA-FB-AAPP","Primary Tumor",12330,8.73640830474615,7,13.6666666666667,49
"TCGA-FB-AAPQ","Primary Tumor",42405,10.7987224692937,35.5,42.3333333333333,263
"TCGA-FB-AAPS","Primary Tumor",14896,8.64707585655584,403,798,2891
"TCGA-FB-AAPU","Primary Tumor",51124,9.83490394886476,139,201.333333333333,750
"TCGA-FB-AAPY","Primary Tumor",31432,9.43851337839098,430,781,2373
"TCGA-FB-AAPZ","Primary Tumor",25833,9.69842711884833,314,336.333333333333,1959
"TCGA-FB-AAQ0","Primary Tumor",54889,10.4395519067467,23.5,79.3333333333333,218
"TCGA-FB-AAQ1","Primary Tumor",22139,8.98159991073139,133,204.333333333333,1048
"TCGA-FB-AAQ2","Primary Tumor",50411,10.0313663947751,122,193.333333333333,893
"TCGA-FB-AAQ3","Primary Tumor",14197,8.90316532617108,162.5,191,582
"TCGA-FB-AAQ6","Primary Tumor",11875,8.93817260032317,29,78.6666666666667,173
"TCGA-H6-8124","Solid Tissue Normal",22354,8.46546337152516,1143.5,966.333333333333,7679
"TCGA-H6-8124","Solid Tissue Normal",22354,8.46546337152516,230.5,105.333333333333,757
"TCGA-H6-8124","Primary Tumor",67651,10.1584338033561,1143.5,966.333333333333,7679
"TCGA-H6-8124","Primary Tumor",67651,10.1584338033561,230.5,105.333333333333,757
"TCGA-H6-A45N","Solid Tissue Normal",16030,8.34479515594389,2793,2976.33333333333,29029
"TCGA-H6-A45N","Solid Tissue Normal",16030,8.34479515594389,335,320.666666666667,1880
"TCGA-H6-A45N","Primary Tumor",13072,8.69191285540095,2793,2976.33333333333,29029
"TCGA-H6-A45N","Primary Tumor",13072,8.69191285540095,335,320.666666666667,1880
"TCGA-H8-A6C1","Primary Tumor",26641,9.14362862070484,155,294.666666666667,1988
"TCGA-HV-A5A3","Primary Tumor",13610,8.86453724100375,30,80,339
"TCGA-HV-A5A3","Primary Tumor",13610,8.86453724100375,277.5,545.333333333333,2348
"TCGA-HV-A5A3","Solid Tissue Normal",13725,8.3497378873998,30,80,339
"TCGA-HV-A5A3","Solid Tissue Normal",13725,8.3497378873998,277.5,545.333333333333,2348
"TCGA-HV-A5A4","Primary Tumor",30917,9.47460697919189,149,164.333333333333,1063
"TCGA-HV-A5A5","Primary Tumor",16590,8.66128925955512,110,500,2003
"TCGA-HV-A5A6","Primary Tumor",28791,9.40305855794099,173.5,65.3333333333333,526
"TCGA-HV-A7OL","Primary Tumor",31707,9.87086447672532,235,669.666666666667,1231
"TCGA-HV-A7OP","Primary Tumor",16334,9.5643751356823,29.5,36.6666666666667,22
"TCGA-HV-AA8V","Primary Tumor",24829,8.96278275884426,173.5,222,1261
"TCGA-HV-AA8X","Primary Tumor",35182,9.4764505841503,46.5,54.6666666666667,333
"TCGA-HZ-7289","Primary Tumor",26920,9.61329145983087,43,44.3333333333333,99
"TCGA-HZ-7918","Primary Tumor",18604,8.44564880609596,1300,1888.33333333333,12414
"TCGA-HZ-7919","Primary Tumor",38948,9.45878820020759,451.5,606.666666666667,2797
"TCGA-HZ-7920","Primary Tumor",21924,8.19833425049312,1466,1353.33333333333,10394
"TCGA-HZ-7922","Primary Tumor",48844,9.94497466868043,393.5,396.666666666667,4444
