"barcode","SampleType","RawCount","logCPM","total_mutations"
"TCGA-3Z-A93Z","Primary Tumor",41937,10.1769687597021,88
"TCGA-6D-AA2E","Primary Tumor",20088,8.9544468656169,28
"TCGA-A3-3306","Primary Tumor",24343,9.1844166482861,NA
"TCGA-A3-3307","Primary Tumor",45882,9.86248248143998,NA
"TCGA-A3-3308","Primary Tumor",22259,8.62977386134954,174
"TCGA-A3-3311","Primary Tumor",39790,9.234546082151,61
"TCGA-A3-3313","Primary Tumor",12469,7.62222786342869,218
"TCGA-A3-3316","Primary Tumor",8471,7.72850816200089,39
"TCGA-A3-3317","Primary Tumor",16200,7.83274670237165,81
"TCGA-A3-3319","Primary Tumor",34744,9.05221054277494,176
"TCGA-A3-3320","Primary Tumor",41625,9.15689101217291,187
"TCGA-A3-3322","Primary Tumor",31316,9.18153877026691,130
"TCGA-A3-3323","Primary Tumor",19040,8.4039561362838,51
"TCGA-A3-3324","Primary Tumor",62409,9.85047284974425,NA
"TCGA-A3-3325","Primary Tumor",48916,9.06354205183616,NA
"TCGA-A3-3326","Primary Tumor",23189,9.69617844325522,58
"TCGA-A3-3328","Primary Tumor",66985,9.9486277524313,NA
"TCGA-A3-3329","Primary Tumor",39835,9.49085344997173,NA
"TCGA-A3-3331","Primary Tumor",53181,9.47107940067744,82
"TCGA-A3-3335","Primary Tumor",32864,9.11693355942404,NA
"TCGA-A3-3343","Primary Tumor",50837,9.72637184594315,NA
"TCGA-A3-3346","Primary Tumor",14688,8.1147834813736,284
"TCGA-A3-3347","Primary Tumor",15540,8.01650630241298,29
"TCGA-A3-3349","Primary Tumor",33906,9.18349839502246,37
"TCGA-A3-3351","Primary Tumor",37565,9.20818020717143,NA
"TCGA-A3-3352","Primary Tumor",65093,9.42757381852495,NA
"TCGA-A3-3357","Primary Tumor",56330,9.67412382040089,103
"TCGA-A3-3358","Primary Tumor",34225,8.74926741156263,68
"TCGA-A3-3358","Solid Tissue Normal",20445,8.78494458084216,68
"TCGA-A3-3359","Primary Tumor",32196,9.18180538616448,NA
"TCGA-A3-3362","Primary Tumor",48583,9.82445172972518,50
"TCGA-A3-3363","Primary Tumor",108301,10.5532774770868,133
"TCGA-A3-3365","Primary Tumor",35790,9.21497585860197,98
"TCGA-A3-3367","Primary Tumor",60066,9.480313823919,72
"TCGA-A3-3370","Primary Tumor",74562,9.64827821888043,41
"TCGA-A3-3372","Primary Tumor",29952,8.575932135212,83
"TCGA-A3-3373","Primary Tumor",88674,10.3273588965095,59
"TCGA-A3-3374","Primary Tumor",22537,8.96219689300411,167
"TCGA-A3-3376","Primary Tumor",32863,8.39667505066225,50
"TCGA-A3-3378","Primary Tumor",48654,9.54128264390117,131
"TCGA-A3-3380","Primary Tumor",66906,9.85586975607393,95
"TCGA-A3-3382","Primary Tumor",18895,8.28234677582983,229
"TCGA-A3-3383","Primary Tumor",32744,9.63656248335814,118
"TCGA-A3-3385","Primary Tumor",67968,9.91868474997757,62
"TCGA-A3-3387","Primary Tumor",32255,8.77143414388133,79
"TCGA-A3-3387","Solid Tissue Normal",25928,9.23513921383655,79
"TCGA-A3-A6NI","Primary Tumor",57675,9.85055172643782,85
"TCGA-A3-A6NJ","Primary Tumor",49563,9.80613326855297,54
"TCGA-A3-A6NL","Primary Tumor",30484,9.1135172499058,38
"TCGA-A3-A6NN","Primary Tumor",44254,9.46935269485227,108
"TCGA-A3-A8CQ","Primary Tumor",27013,8.94807649050351,46
"TCGA-A3-A8OU","Primary Tumor",53229,9.87550785228528,82
"TCGA-A3-A8OV","Primary Tumor",69385,10.497112407235,150
"TCGA-A3-A8OW","Primary Tumor",48708,9.67034301974089,28
"TCGA-A3-A8OX","Primary Tumor",25052,8.58197579207286,43
"TCGA-AK-3425","Primary Tumor",18942,8.85147105067793,NA
"TCGA-AK-3426","Primary Tumor",6594,7.43235794740545,28
"TCGA-AK-3427","Primary Tumor",30628,9.62073964038344,36
"TCGA-AK-3428","Primary Tumor",33101,10.1611585216018,NA
"TCGA-AK-3429","Primary Tumor",32583,9.75573171553994,21
"TCGA-AK-3431","Primary Tumor",41588,10.0321905295565,NA
"TCGA-AK-3433","Primary Tumor",7973,7.75494705718533,NA
"TCGA-AK-3434","Primary Tumor",21522,9.02109037039388,NA
"TCGA-AK-3436","Primary Tumor",20392,8.93891396664023,45
"TCGA-AK-3440","Primary Tumor",21816,8.91623613261093,52
"TCGA-AK-3443","Primary Tumor",112435,10.9635904925587,20
"TCGA-AK-3444","Primary Tumor",135754,10.1117756363461,216
