"barcode","SampleType","RawCount","logCPM"
"TCGA-5P-A9K4","Primary Tumor",413,3.03737182138905
"TCGA-P4-A5E7","Primary Tumor",1377,4.52938058028421
"TCGA-G7-A8LD","Primary Tumor",4754,6.06585065073089
"TCGA-IA-A83T","Primary Tumor",1055,4.30586557065816
"TCGA-2Z-A9JK","Primary Tumor",13258,7.66587254026065
"TCGA-UZ-A9PU","Primary Tumor",393,2.64883832956943
"TCGA-UZ-A9PL","Primary Tumor",699,3.59081122737818
"TCGA-KV-A6GE","Primary Tumor",618,3.44907209766576
"TCGA-4A-A93X","Primary Tumor",1872,5.31590948129971
"TCGA-B3-4104","Primary Tumor",3772,6.40771350763144
"TCGA-B9-4114","Primary Tumor",1313,4.45478512990477
"TCGA-KV-A6GD","Primary Tumor",1268,4.60337727022685
"TCGA-B9-A5W7","Primary Tumor",883,3.88362962524697
"TCGA-AL-3471","Primary Tumor",440,3.56612290122544
"TCGA-A4-8515","Primary Tumor",886,4.07185798920094
"TCGA-G7-6790","Primary Tumor",1398,4.45720376913516
"TCGA-BQ-5890","Primary Tumor",1223,4.42727146218029
"TCGA-MH-A55Z","Primary Tumor",913,4.3983034244925
"TCGA-B3-8121","Primary Tumor",1059,4.51656185381634
"TCGA-2Z-A9JS","Primary Tumor",1114,3.92836290690226
"TCGA-BQ-5884","Primary Tumor",3031,5.25349844598969
"TCGA-A4-8517","Primary Tumor",966,4.50319749686482
"TCGA-GL-7966","Primary Tumor",10441,7.33883405452343
"TCGA-2Z-A9JL","Primary Tumor",879,4.03793165011503
"TCGA-SX-A71S","Primary Tumor",1675,4.69742910691204
"TCGA-BQ-5888","Primary Tumor",786,4.01891575588991
"TCGA-DW-7837","Primary Tumor",1529,5.19273797365479
"TCGA-DW-7840","Primary Tumor",1551,5.09262471095523
"TCGA-BQ-7055","Solid Tissue Normal",118004,10.8752950918132
"TCGA-BQ-7055","Primary Tumor",5739,7.42512183491423
"TCGA-B1-A47O","Primary Tumor",268,2.78581384573535
"TCGA-BQ-7049","Primary Tumor",3644,5.99369458580188
"TCGA-DW-7838","Primary Tumor",1295,4.66549105622202
"TCGA-DZ-6134","Primary Tumor",11346,7.30302740570971
"TCGA-A4-7584","Primary Tumor",908,4.10149839243114
"TCGA-DW-5561","Primary Tumor",1053,4.00770378635831
"TCGA-A4-7734","Primary Tumor",4739,5.91063393545131
"TCGA-A4-A7UZ","Primary Tumor",1417,4.78646060139988
"TCGA-SX-A7SR","Primary Tumor",679,3.77136159247626
"TCGA-DW-7839","Primary Tumor",871,3.6549185759506
"TCGA-AL-A5DJ","Primary Tumor",805,4.39246877857165
"TCGA-BQ-5880","Primary Tumor",1666,5.91210989793902
"TCGA-UZ-A9PP","Primary Tumor",1203,4.21283193569983
"TCGA-B9-5156","Primary Tumor",1462,4.70731042876175
"TCGA-BQ-5887","Solid Tissue Normal",38612,9.09678773522605
"TCGA-Y8-A8S1","Primary Tumor",3921,7.12836295738218
"TCGA-GL-A59T","Primary Tumor",361,3.17141658995686
"TCGA-HE-7129","Primary Tumor",892,3.51766583063131
"TCGA-P4-A5ED","Solid Tissue Normal",9472,7.43112180304082
"TCGA-G7-6795","Primary Tumor",1061,4.56587052511371
"TCGA-BQ-5876","Primary Tumor",1814,5.73079681480943
"TCGA-BQ-7044","Primary Tumor",1699,4.9599410681313
"TCGA-UZ-A9PN","Primary Tumor",7966,6.84538773302018
"TCGA-BQ-7044","Solid Tissue Normal",35887,9.37655569377047
"TCGA-B3-4103","Primary Tumor",1167,4.26026181542289
"TCGA-5P-A9K0","Primary Tumor",971,4.11105158507618
"TCGA-IA-A40Y","Primary Tumor",1712,4.89662991322759
"TCGA-B3-3926","Primary Tumor",1344,4.73435934026666
"TCGA-DW-5560","Primary Tumor",645,3.47235323292292
"TCGA-G7-6797","Primary Tumor",699,4.06849727841853
"TCGA-BQ-7045","Solid Tissue Normal",29518,9.23493915329131
"TCGA-DW-7836","Primary Tumor",3624,6.02263982211559
"TCGA-HE-A5NF","Primary Tumor",774,4.89802834946773
"TCGA-BQ-5892","Primary Tumor",12046,7.82306665194644
"TCGA-P4-AAVL","Primary Tumor",290,3.09957132242875
"TCGA-2Z-A9JI","Primary Tumor",2467,5.46582381258921
"TCGA-5P-A9JY","Primary Tumor",252,2.49060959249584
"TCGA-AL-3472","Primary Tumor",700,3.44888256981574
"TCGA-G7-6792","Primary Tumor",1195,4.48357240923125
"TCGA-UZ-A9PO","Primary Tumor",871,4.53041085879412
"TCGA-SX-A7SM","Primary Tumor",1086,4.71223770965853
"TCGA-G7-7501","Primary Tumor",2329,5.18900592777104
"TCGA-IA-A83W","Primary Tumor",960,4.32716562032726
"TCGA-5P-A9K3","Primary Tumor",1109,4.83816704310707
"TCGA-BQ-5883","Primary Tumor",10657,7.48663996432418
"TCGA-G7-6796","Primary Tumor",987,4.70492012147627
"TCGA-V9-A7HT","Primary Tumor",1783,4.96919923869734
"TCGA-P4-AAVM","Primary Tumor",241,3.57479351311774
"TCGA-B9-4116","Primary Tumor",17056,7.72895298651529
"TCGA-GL-A9DD","Primary Tumor",948,4.32735217894188
"TCGA-2Z-A9J9","Primary Tumor",28783,8.78949499314605
"TCGA-GL-A9DE","Solid Tissue Normal",9375,7.13501036095207
"TCGA-BQ-7050","Primary Tumor",941,4.21982123695434
"TCGA-A4-7915","Primary Tumor",10724,7.63128635522031
"TCGA-DZ-6131","Solid Tissue Normal",13358,8.00776034024845
"TCGA-F9-A7VF","Primary Tumor",272,3.05761155112476
"TCGA-BQ-7062","Primary Tumor",2621,5.03389845264168
"TCGA-2Z-A9JT","Primary Tumor",313,4.2834119326869
"TCGA-5P-A9K2","Primary Tumor",85,1.7976591873848
"TCGA-DZ-6135","Primary Tumor",2016,4.66786500531004
"TCGA-GL-A59R","Solid Tissue Normal",5515,7.23127080990314
"TCGA-G7-6789","Primary Tumor",3520,6.06231089948822
"TCGA-4A-A93W","Primary Tumor",1038,4.18547359801858
"TCGA-DZ-6132","Primary Tumor",2839,5.45500401049173
"TCGA-BQ-5875","Solid Tissue Normal",57405,9.66295582551508
"TCGA-2Z-A9J2","Primary Tumor",398,4.60758160725467
"TCGA-SX-A7SS","Primary Tumor",1148,4.93955955041272
"TCGA-HE-A5NJ","Primary Tumor",1890,5.86725805392802
"TCGA-HE-A5NH","Primary Tumor",357,3.71344473885535
"TCGA-IZ-8195","Primary Tumor",950,4.86621698908599
"TCGA-B9-A8YI","Primary Tumor",1170,5.19163944090034
"TCGA-AL-3473","Primary Tumor",7512,6.82992692378103
"TCGA-B9-A69E","Primary Tumor",6750,6.98231290831138
"TCGA-Y8-A8RY","Solid Tissue Normal",15433,7.6492936485194
"TCGA-BQ-7051","Solid Tissue Normal",131702,10.8166948027677
"TCGA-BQ-7048","Primary Tumor",2699,6.09012887093096
"TCGA-Y8-A896","Primary Tumor",4366,6.37438185576687
"TCGA-Y8-A8S0","Primary Tumor",745,3.69672654365375
"TCGA-G7-A8LB","Primary Tumor",373,3.33188897630354
"TCGA-5P-A9K8","Primary Tumor",1818,4.84661666743943
"TCGA-2Z-A9JE","Primary Tumor",1368,4.98250501080418
"TCGA-2Z-A9JD","Primary Tumor",1500,5.30439507624232
"TCGA-UZ-A9PZ","Primary Tumor",561,3.81747180737721
"TCGA-G7-7502","Primary Tumor",2376,4.956760877839
"TCGA-HE-A5NI","Primary Tumor",914,5.18918570536951
"TCGA-B1-A47N","Primary Tumor",638,3.85913461969175
"TCGA-GL-7966","Solid Tissue Normal",18305,8.62080817917492
"TCGA-HE-A5NK","Primary Tumor",533,4.41151995349385
"TCGA-5P-A9K9","Primary Tumor",3498,6.4161887974152
"TCGA-IZ-A6M9","Primary Tumor",480,3.28642462201329
"TCGA-O9-A75Z","Primary Tumor",821,3.77411125390194
"TCGA-BQ-7046","Primary Tumor",756,4.0893911350104
"TCGA-MH-A854","Primary Tumor",545,3.97419792860982
"TCGA-BQ-7046","Solid Tissue Normal",82815,10.2238753053417
"TCGA-B1-5398","Primary Tumor",2225,5.41273724963077
"TCGA-A4-7997","Primary Tumor",910,3.5421488284174
"TCGA-PJ-A5Z9","Primary Tumor",364,3.43576191235645
"TCGA-J7-8537","Primary Tumor",4305,6.4451993737401
"TCGA-5P-A9JW","Primary Tumor",744,4.17409972269205
"TCGA-IA-A40X","Primary Tumor",601,3.73773705666157
"TCGA-B9-A8YH","Primary Tumor",1481,4.28313581843562
"TCGA-BQ-7059","Solid Tissue Normal",61774,9.82674370570909
"TCGA-UZ-A9PR","Primary Tumor",906,3.78023504080721
"TCGA-MH-A55W","Primary Tumor",361,3.72257473815596
"TCGA-B1-A654","Primary Tumor",715,3.96860762802605
"TCGA-GL-8500","Primary Tumor",839,4.09617971261132
"TCGA-B9-A44B","Primary Tumor",2986,6.25031223915305
"TCGA-J7-6720","Primary Tumor",1181,4.53671074918753
"TCGA-2Z-A9JQ","Primary Tumor",103,2.32448650591667
"TCGA-Y8-A8RZ","Primary Tumor",1441,5.08986262087871
"TCGA-BQ-7061","Solid Tissue Normal",15739,7.48159549937297
"TCGA-MH-A562","Primary Tumor",395,3.3638936889683
"TCGA-BQ-7061","Primary Tumor",3457,5.60379024169004
"TCGA-GL-6846","Solid Tissue Normal",78345,10.3385110430517
"TCGA-GL-6846","Primary Tumor",2695,5.46174306207133
"TCGA-P4-A5EA","Primary Tumor",2489,5.95858890685086
"TCGA-2Z-A9J6","Primary Tumor",427,3.16973358682621
"TCGA-2Z-A9J3","Primary Tumor",620,3.36366464574417
"TCGA-AL-3467","Primary Tumor",943,3.9299627361794
"TCGA-IZ-8196","Primary Tumor",1176,4.6473814018548
"TCGA-BQ-5877","Primary Tumor",5292,6.26700289853343
"TCGA-UZ-A9PS","Additional - New Primary",3284,6.17162453852176
"TCGA-MH-A856","Primary Tumor",1102,4.79815897079397
"TCGA-UZ-A9PS","Primary Tumor",876,3.85464091115215
"TCGA-BQ-5889","Primary Tumor",44264,9.49474055427015
"TCGA-B9-4117","Primary Tumor",2670,5.2320330932477
"TCGA-GL-7773","Primary Tumor",550,3.39253571369668
"TCGA-BQ-5893","Primary Tumor",6851,6.90395392742299
"TCGA-P4-A5E8","Solid Tissue Normal",7345,8.21330420542134
"TCGA-SX-A7SN","Primary Tumor",638,3.92159891434817
"TCGA-IZ-A6M8","Primary Tumor",463,3.62528063398943
"TCGA-F9-A97G","Primary Tumor",2978,6.0417222044936
"TCGA-WN-A9G9","Primary Tumor",3235,6.35882995653305
"TCGA-F9-A8NY","Primary Tumor",5972,6.98022117843644
"TCGA-SX-A7SQ","Primary Tumor",1131,4.40548262538063
"TCGA-AL-7173","Primary Tumor",1088,4.7043921434186
