"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-2K-A9WE","Primary Tumor",989,4.37091217274953,489.5,445.333333333333,4291
"TCGA-2Z-A9J1","Primary Tumor",562,3.66358120066168,185,290,1001
"TCGA-2Z-A9J2","Primary Tumor",398,4.60758160725467,51,76,184
"TCGA-2Z-A9J3","Primary Tumor",620,3.36366464574417,39,36.6666666666667,175
"TCGA-2Z-A9J5","Primary Tumor",331,3.52533567171412,228.5,346.333333333333,781
"TCGA-2Z-A9J6","Primary Tumor",427,3.16973358682621,76,234.333333333333,667
"TCGA-2Z-A9J7","Primary Tumor",702,3.98840133872648,26.5,29.6666666666667,145
"TCGA-2Z-A9J8","Primary Tumor",883,3.76502216295123,144,217.666666666667,1483
"TCGA-2Z-A9J9","Primary Tumor",28783,8.78949499314605,99,139.333333333333,1134
"TCGA-2Z-A9JD","Primary Tumor",1500,5.30439507624232,37.5,51.6666666666667,415
"TCGA-2Z-A9JE","Primary Tumor",1368,4.98250501080418,10.5,36.3333333333333,169
"TCGA-2Z-A9JG","Primary Tumor",1184,4.23541289548171,239,246.666666666667,1705
"TCGA-2Z-A9JI","Primary Tumor",2467,5.46582381258921,406,502.666666666667,2908
"TCGA-2Z-A9JJ","Primary Tumor",3573,5.93589762497121,50,122.666666666667,1536
"TCGA-2Z-A9JK","Primary Tumor",13258,7.66587254026065,263,454.333333333333,2649
"TCGA-2Z-A9JL","Primary Tumor",879,4.03793165011503,86,192.333333333333,1333
"TCGA-2Z-A9JM","Primary Tumor",1271,4.63098537892208,327.5,487.333333333333,2203
"TCGA-2Z-A9JN","Primary Tumor",3366,6.07638231138347,87,125,799
"TCGA-2Z-A9JO","Primary Tumor",1848,5.66289664761474,58,99.6666666666667,522
"TCGA-2Z-A9JP","Primary Tumor",467,3.64033060812756,120.5,123.666666666667,415
"TCGA-2Z-A9JQ","Primary Tumor",103,2.32448650591667,25.5,76.6666666666667,79
"TCGA-2Z-A9JR","Primary Tumor",757,3.83423363056947,266,327.666666666667,1138
"TCGA-2Z-A9JS","Primary Tumor",1114,3.92836290690226,97,75,716
"TCGA-2Z-A9JT","Primary Tumor",313,4.2834119326869,169.5,246.333333333333,193
