"barcode","SampleType","RawCount","logCPM"
"TCGA-HZ-A8P1","Primary Tumor",2441,6.02294785404703
"TCGA-FB-AAPS","Primary Tumor",4423,6.89542396559878
"TCGA-IB-AAUN","Primary Tumor",22054,9.05005045177018
"TCGA-3A-A9I7","Primary Tumor",8359,7.25457377360004
"TCGA-FB-AAPY","Primary Tumor",4017,6.47076264798705
"TCGA-2J-AABP","Primary Tumor",5094,6.97849973662645
"TCGA-2L-AAQM","Primary Tumor",1354,5.02767890000284
"TCGA-HZ-8519","Primary Tumor",8860,6.41618664382282
"TCGA-PZ-A5RE","Primary Tumor",3289,6.03878712039775
"TCGA-HZ-8002","Primary Tumor",21999,8.38555921657347
"TCGA-HZ-A77P","Primary Tumor",7963,7.03700576874395
"TCGA-US-A77E","Primary Tumor",4629,6.44440391878851
"TCGA-HV-A7OP","Primary Tumor",1494,6.11413983046398
"TCGA-2J-AAB6","Primary Tumor",32013,9.84419131996758
"TCGA-IB-7645","Primary Tumor",8527,7.27297507917193
"TCGA-2J-AABF","Primary Tumor",9010,7.03887206718339
"TCGA-FB-AAPU","Primary Tumor",3260,5.86432593211095
"TCGA-RB-AA9M","Primary Tumor",8110,7.19404740120798
"TCGA-2J-AAB9","Primary Tumor",7489,8.4625539395363
"TCGA-HZ-A8P0","Primary Tumor",4824,7.05382796012567
"TCGA-L1-A7W4","Primary Tumor",3334,5.98094795511862
"TCGA-FB-A4P5","Primary Tumor",2895,6.44916270415234
"TCGA-IB-A5SO","Primary Tumor",5034,6.37829063805733
"TCGA-IB-7649","Primary Tumor",5478,7.38503689371464
"TCGA-US-A77J","Primary Tumor",3399,6.4024813591543
"TCGA-3A-A9IV","Primary Tumor",2458,5.98633516804636
"TCGA-3A-A9IR","Primary Tumor",5054,6.25649505346091
"TCGA-HZ-8638","Primary Tumor",6439,6.2613927750939
"TCGA-3A-A9IL","Primary Tumor",6743,7.09724373811345
"TCGA-F2-6880","Primary Tumor",4192,7.73131568625498
"TCGA-FB-A7DR","Primary Tumor",6282,7.00748815225185
"TCGA-XD-AAUI","Primary Tumor",11727,7.92039601401196
"TCGA-3A-A9IS","Primary Tumor",1683,5.14158992065168
"TCGA-IB-A5SS","Primary Tumor",12524,7.92587005110268
"TCGA-HZ-7924","Primary Tumor",5828,6.12909833832703
"TCGA-IB-7885","Primary Tumor",8481,7.08108825122791
"TCGA-FB-A545","Primary Tumor",25173,9.64895258483315
"TCGA-IB-AAUW","Primary Tumor",8824,7.1105039257926
"TCGA-S4-A8RO","Primary Tumor",14875,8.41506742941747
"TCGA-FB-AAQ6","Primary Tumor",1934,6.32021691567977
"TCGA-IB-A7LX","Primary Tumor",12022,7.83820899710852
"TCGA-3A-A9IO","Primary Tumor",4430,6.61018291377357
"TCGA-IB-A7M4","Primary Tumor",6197,7.18493324603096
"TCGA-3A-A9IU","Primary Tumor",7163,7.13072893209112
"TCGA-HV-A5A3","Primary Tumor",4330,7.21244607037291
"TCGA-HV-A5A3","Solid Tissue Normal",6816,7.34002153717341
"TCGA-IB-7886","Primary Tumor",14653,7.98851730329705
"TCGA-HV-AA8X","Primary Tumor",5341,6.75702850323341
"TCGA-S4-A8RM","Primary Tumor",2323,5.32846550977839
"TCGA-IB-AAUQ","Primary Tumor",19998,8.98715840245904
"TCGA-IB-AAUU","Primary Tumor",4533,6.4396933792471
"TCGA-3A-A9IZ","Primary Tumor",8936,8.27207102350585
"TCGA-HZ-7919","Primary Tumor",24647,8.79867557073465
"TCGA-IB-7897","Primary Tumor",11935,7.37590026596854
"TCGA-3A-A9IB","Primary Tumor",15906,8.18317052022805
"TCGA-IB-8127","Primary Tumor",27517,8.25158942379764
"TCGA-2J-AABU","Primary Tumor",13578,9.38938767457076
"TCGA-HV-AA8V","Primary Tumor",6647,7.06169516196409
"TCGA-IB-7652","Primary Tumor",16220,7.73922780925602
"TCGA-HV-A5A5","Primary Tumor",4361,6.73391258403669
"TCGA-3A-A9IH","Primary Tumor",10964,7.57554288018004
"TCGA-2L-AAQL","Primary Tumor",2883,6.44607007886475
"TCGA-HZ-A49H","Primary Tumor",4748,6.78682573665234
"TCGA-HZ-A4BH","Primary Tumor",26510,9.06993271993572
"TCGA-F2-A44G","Primary Tumor",3190,6.27694667749458
"TCGA-Q3-AA2A","Primary Tumor",2964,6.51359445886521
"TCGA-IB-A5SQ","Primary Tumor",6271,7.04425919945021
"TCGA-HZ-A49G","Primary Tumor",5715,6.98234732040522
"TCGA-3A-A9IC","Primary Tumor",4849,6.76004969386193
"TCGA-HZ-8003","Primary Tumor",9109,7.5856228046751
"TCGA-IB-A6UF","Primary Tumor",6494,7.04009308431617
"TCGA-2J-AAB1","Primary Tumor",3162,6.17249197229134
"TCGA-Z5-AAPL","Primary Tumor",2522,5.81391318088279
"TCGA-F2-A8YN","Primary Tumor",7177,7.46108033846678
"TCGA-H6-A45N","Solid Tissue Normal",1728,5.13195403013238
"TCGA-HZ-7922","Primary Tumor",8576,7.43531202766237
"TCGA-IB-AAUT","Primary Tumor",5490,7.07601763195334
"TCGA-H6-8124","Primary Tumor",21630,8.51341166662493
"TCGA-F2-6879","Primary Tumor",9432,7.10239047901033
"TCGA-FB-A4P6","Primary Tumor",3858,6.71730908802244
"TCGA-HZ-A9TJ","Metastatic",21556,8.66042500125496
