"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-2J-AAB1","Primary Tumor",3162,6.17249197229134,346.5,672.333333333333,1762
"TCGA-2J-AAB4","Primary Tumor",12523,7.84189652220713,405.5,481,1850
"TCGA-2J-AAB6","Primary Tumor",32013,9.84419131996758,53,80.3333333333333,718
"TCGA-2J-AAB8","Primary Tumor",3299,6.99312079774398,96,147.333333333333,681
"TCGA-2J-AAB9","Primary Tumor",7489,8.4625539395363,166.5,184.333333333333,724
"TCGA-2J-AABA","Primary Tumor",3706,6.60929312403912,235.5,291,978
"TCGA-2J-AABE","Primary Tumor",7102,7.59224791312509,52.5,131,1285
"TCGA-2J-AABF","Primary Tumor",9010,7.03887206718339,596,802,5851
"TCGA-2J-AABH","Primary Tumor",4512,6.47444151387719,94,178.333333333333,1166
"TCGA-2J-AABI","Primary Tumor",16193,7.97135928935896,120.5,478.666666666667,2108
"TCGA-2J-AABK","Primary Tumor",3899,6.05776550429382,299,301.666666666667,1001
"TCGA-2J-AABO","Primary Tumor",16777,9.15114904904787,153.5,187.333333333333,751
"TCGA-2J-AABP","Primary Tumor",5094,6.97849973662645,656,631.666666666667,2762
"TCGA-2J-AABR","Primary Tumor",4710,6.97641805341993,722.5,882.666666666667,3567
"TCGA-2J-AABT","Primary Tumor",4976,7.1038878540683,218,352.333333333333,2412
"TCGA-2J-AABU","Primary Tumor",13578,9.38938767457076,133,172,555
"TCGA-2J-AABV","Primary Tumor",1673,6.86394629242496,107.5,90,114
"TCGA-2L-AAQA","Primary Tumor",13249,7.87016688122226,93.5,160.666666666667,885
"TCGA-2L-AAQE","Primary Tumor",61950,10.3819088106338,334.5,450.333333333333,1889
"TCGA-2L-AAQI","Primary Tumor",12047,8.02078688248493,215.5,151.333333333333,1120
"TCGA-2L-AAQJ","Primary Tumor",10001,7.91203058780658,187,340.333333333333,2226
"TCGA-2L-AAQL","Primary Tumor",2883,6.44607007886475,179.5,267.333333333333,556
"TCGA-2L-AAQM","Primary Tumor",1354,5.02767890000284,65,103,364
"TCGA-3A-A9I5","Primary Tumor",2029,5.6944771903673,64,174,464
"TCGA-3A-A9I7","Primary Tumor",8359,7.25457377360004,501,755,3810
"TCGA-3A-A9I9","Primary Tumor",6797,7.31524491681222,252,250,1307
"TCGA-3A-A9IB","Primary Tumor",15906,8.18317052022805,121,199.333333333333,1954
"TCGA-3A-A9IC","Primary Tumor",4849,6.76004969386193,113.5,196,790
"TCGA-3A-A9IH","Primary Tumor",10964,7.57554288018004,106.5,178,947
"TCGA-3A-A9IJ","Primary Tumor",1235,4.85073606171734,91.5,10.6666666666667,53
"TCGA-3A-A9IL","Primary Tumor",6743,7.09724373811345,86.5,124,692
"TCGA-3A-A9IN","Primary Tumor",9254,7.58598617060896,148.5,127,575
"TCGA-3A-A9IO","Primary Tumor",4430,6.61018291377357,63,66.3333333333333,384
"TCGA-3A-A9IR","Primary Tumor",5054,6.25649505346091,115,155,583
"TCGA-3A-A9IS","Primary Tumor",1683,5.14158992065168,30,8.66666666666667,143
"TCGA-3A-A9IU","Primary Tumor",7163,7.13072893209112,109.5,112.666666666667,899
"TCGA-3A-A9IV","Primary Tumor",2458,5.98633516804636,13.5,15.6666666666667,455
"TCGA-3A-A9IX","Primary Tumor",10642,7.48238884941785,902.5,1243.33333333333,7283
"TCGA-3A-A9IZ","Primary Tumor",8936,8.27207102350585,32,51.6666666666667,278
"TCGA-3A-A9J0","Primary Tumor",7901,7.58936658482448,123.5,118.333333333333,927
"TCGA-3E-AAAY","Primary Tumor",6735,7.01416242183462,478.5,550.666666666667,3014
"TCGA-3E-AAAZ","Primary Tumor",13332,7.77602259546991,178,246.666666666667,1117
"TCGA-F2-6879","Primary Tumor",9432,7.10239047901033,181.5,333,2168
"TCGA-F2-6880","Primary Tumor",4192,7.73131568625498,63.5,39,206
"TCGA-F2-7273","Primary Tumor",11920,7.28952140235549,1368.5,1041.33333333333,16100
"TCGA-F2-7276","Primary Tumor",14451,7.78938067091537,788.5,1154,9599
"TCGA-F2-A44G","Primary Tumor",3190,6.27694667749458,74,153.333333333333,1111
"TCGA-F2-A44H","Primary Tumor",3436,7.40313768488829,54.5,104.333333333333,1288
"TCGA-F2-A7TX","Primary Tumor",9022,7.62271179133661,1037.5,733.666666666667,4208
"TCGA-F2-A8YN","Primary Tumor",7177,7.46108033846678,65.5,97,822
"TCGA-FB-A4P5","Primary Tumor",2895,6.44916270415234,1246.5,1337,4727
"TCGA-FB-A4P6","Primary Tumor",3858,6.71730908802244,477,496,2357
"TCGA-FB-A545","Primary Tumor",25173,9.64895258483315,19.5,31,162
"TCGA-FB-A5VM","Primary Tumor",4584,6.76796305708774,467,607,952
"TCGA-FB-A78T","Primary Tumor",5071,6.43170206883013,202,277.333333333333,1461
"TCGA-FB-A7DR","Primary Tumor",6282,7.00748815225185,272.5,294,1307
"TCGA-FB-AAPP","Primary Tumor",609,4.39816520383807,7,13.6666666666667,49
"TCGA-FB-AAPQ","Primary Tumor",1104,5.53592565691705,35.5,42.3333333333333,263
"TCGA-FB-AAPS","Primary Tumor",4423,6.89542396559878,403,798,2891
"TCGA-FB-AAPU","Primary Tumor",3260,5.86432593211095,139,201.333333333333,750
"TCGA-FB-AAPY","Primary Tumor",4017,6.47076264798705,430,781,2373
"TCGA-FB-AAPZ","Primary Tumor",10749,8.43346468809911,314,336.333333333333,1959
"TCGA-FB-AAQ0","Primary Tumor",3471,6.45677585253399,23.5,79.3333333333333,218
"TCGA-FB-AAQ1","Primary Tumor",7237,7.36859486865916,133,204.333333333333,1048
"TCGA-FB-AAQ2","Primary Tumor",40182,9.70418444179631,122,193.333333333333,893
"TCGA-FB-AAQ3","Primary Tumor",2278,6.26374439926549,162.5,191,582
"TCGA-FB-AAQ6","Primary Tumor",1934,6.32021691567977,29,78.6666666666667,173
"TCGA-H6-8124","Solid Tissue Normal",8472,7.06584294404566,1143.5,966.333333333333,7679
