"barcode","SampleType","RawCount","logCPM"
"TCGA-AX-A3G9","Primary Tumor",5274,6.9767783226865
"TCGA-B5-A0K6","Primary Tumor",14430,9.72425232985003
"TCGA-BG-A0W2","Primary Tumor",12980,8.95484238288875
"TCGA-AX-A2HD","Primary Tumor",3875,6.95126614450897
"TCGA-EC-A24G","Primary Tumor",5200,7.61211244140023
"TCGA-EY-A1GS","Primary Tumor",1427,5.99328115290449
"TCGA-AX-A1C7","Primary Tumor",2939,6.80114292203324
"TCGA-B5-A0JU","Primary Tumor",11172,8.68181187293121
"TCGA-FL-A1YG","Solid Tissue Normal",11678,8.1222674709487
"TCGA-AX-A063","Primary Tumor",649,5.98374121782536
"TCGA-A5-A2K3","Primary Tumor",1968,6.60853641694958
"TCGA-E6-A2P9","Primary Tumor",4093,6.47821580588008
"TCGA-AX-A3FX","Primary Tumor",3875,6.65475670980021
"TCGA-D1-A15W","Primary Tumor",20266,9.59139119386133
"TCGA-D1-A16O","Primary Tumor",4396,7.48991619945491
"TCGA-BG-A3EW","Solid Tissue Normal",5139,7.12537333304488
"TCGA-BG-A3EW","Primary Tumor",24834,8.64453486400776
"TCGA-AX-A3G1","Primary Tumor",31746,9.69367188839492
"TCGA-PG-A916","Primary Tumor",40819,9.69107612232994
"TCGA-D1-A17U","Primary Tumor",2436,6.52526542724638
"TCGA-AX-A05Y","Primary Tumor",11970,8.93632486489734
"TCGA-AX-A05Y","Solid Tissue Normal",20112,8.89899742732272
"TCGA-A5-A0GP","Primary Tumor",5850,7.93923639468159
"TCGA-AX-A2IN","Primary Tumor",3836,6.30284712486052
"TCGA-BK-A13C","Primary Tumor",12041,8.98723260798353
"TCGA-AP-A0LN","Primary Tumor",8637,8.99659546847043
"TCGA-BG-A0MQ","Primary Tumor",4641,7.75408261728657
"TCGA-EO-A2CG","Primary Tumor",1998,6.2368336144822
"TCGA-B5-A11G","Primary Tumor",1431,6.30335522479146
"TCGA-BG-A0MK","Primary Tumor",13652,8.3025383175415
"TCGA-D1-A16F","Primary Tumor",7865,8.17593760624606
"TCGA-AX-A3G8","Primary Tumor",3128,6.82996455446765
"TCGA-BS-A0V4","Primary Tumor",1388,6.49944167416594
"TCGA-SJ-A6ZJ","Primary Tumor",13409,8.1636823058451
"TCGA-DF-A2KN","Primary Tumor",22901,8.91059337181488
"TCGA-AX-A05T","Primary Tumor",2342,8.05265043351254
"TCGA-BK-A0CA","Primary Tumor",15312,8.58853139580014
"TCGA-AJ-A3OK","Primary Tumor",16935,8.93569941873551
"TCGA-AP-A056","Primary Tumor",2463,6.9995754294435
"TCGA-A5-A0GE","Primary Tumor",6027,7.84904077844175
"TCGA-BK-A26L","Primary Tumor",2968,6.71363500614053
"TCGA-AJ-A2QM","Primary Tumor",7256,7.42142537901904
"TCGA-AX-A1CP","Primary Tumor",2450,6.51287245177885
"TCGA-D1-A160","Primary Tumor",2915,7.11143549326154
"TCGA-DI-A1BU","Primary Tumor",2530,6.37044753287303
"TCGA-D1-A16E","Primary Tumor",13585,8.93518579392582
"TCGA-D1-A0ZN","Primary Tumor",10076,8.59469402572686
"TCGA-EY-A1GI","Primary Tumor",25384,10.0993565188722
"TCGA-B5-A1N2","Primary Tumor",4561,7.25944817688394
"TCGA-AP-A0LE","Primary Tumor",2017,6.76172045659521
"TCGA-BG-A0M7","Primary Tumor",9441,8.93226594508258
