"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-2E-A9G8","Primary Tumor",6396,7.28705583564298,180,240,496
"TCGA-4E-A92E","Primary Tumor",47751,10.0378249071404,620,447,2846
"TCGA-5B-A90C","Primary Tumor",36558,9.37243793995236,99.5,114.333333333333,593
"TCGA-5S-A9Q8","Primary Tumor",1222,6.40143119758659,76.5,28,45
"TCGA-A5-A0G1","Primary Tumor",6833,8.18099938054888,2927,3268.33333333333,2110
"TCGA-A5-A0G2","Primary Tumor",2474,6.54787398844653,188.5,197.333333333333,637
"TCGA-A5-A0G3","Primary Tumor",2006,6.68822994416224,39,7.33333333333333,33
"TCGA-A5-A0G5","Primary Tumor",1223,6.2194197213137,1036.5,947.666666666667,1716
"TCGA-A5-A0G9","Primary Tumor",21414,10.0820566550818,20.5,63,129
"TCGA-A5-A0GA","Primary Tumor",3873,7.10268403685085,182,149,248
"TCGA-A5-A0GB","Primary Tumor",3482,7.11352124571559,193.5,176.333333333333,248
"TCGA-A5-A0GD","Primary Tumor",20351,9.51309213655436,49.5,126,543
"TCGA-A5-A0GE","Primary Tumor",6027,7.84904077844175,101.5,207,360
"TCGA-A5-A0GG","Primary Tumor",3339,6.8866423820652,140.5,247.333333333333,447
"TCGA-A5-A0GH","Primary Tumor",1396,5.58232962417477,183,106.333333333333,123
"TCGA-A5-A0GI","Primary Tumor",2337,6.59618921230822,113,239.666666666667,210
"TCGA-A5-A0GJ","Primary Tumor",2569,7.56743690666295,81,310.333333333333,131
"TCGA-A5-A0GM","Primary Tumor",3389,7.30651618248611,93,52.3333333333333,107
"TCGA-A5-A0GN","Primary Tumor",2814,7.54820916884399,74,304.666666666667,464
"TCGA-A5-A0GP","Primary Tumor",5850,7.93923639468159,176.5,108.666666666667,120
"TCGA-A5-A0GQ","Primary Tumor",12185,9.08753044614047,82,198.666666666667,670
"TCGA-A5-A0GR","Primary Tumor",1838,6.8822815254186,326,469,872
"TCGA-A5-A0GU","Primary Tumor",23322,9.62320471191869,287.5,188.333333333333,626
"TCGA-A5-A0GV","Primary Tumor",12096,8.89537717969747,684,12.3333333333333,55
"TCGA-A5-A0GW","Primary Tumor",4304,7.28781369846549,725,908.333333333333,1616
"TCGA-A5-A0GX","Primary Tumor",3375,7.71217783414398,254.5,240.333333333333,147
"TCGA-A5-A0R6","Primary Tumor",2061,6.64938853672157,153,151.666666666667,241
"TCGA-A5-A0R7","Primary Tumor",3900,7.36136477730414,260.5,554.333333333333,511
"TCGA-A5-A0R8","Primary Tumor",3261,7.337868636893,115,287.333333333333,274
"TCGA-A5-A0R9","Primary Tumor",5835,8.14416652200874,239,150.333333333333,263
"TCGA-A5-A0RA","Primary Tumor",1995,7.88579299034383,15.5,35.6666666666667,89
"TCGA-A5-A0VO","Primary Tumor",4944,7.63771563196115,130,162.666666666667,373
"TCGA-A5-A0VP","Primary Tumor",16249,9.41931264718085,157.5,159.666666666667,312
"TCGA-A5-A0VQ","Primary Tumor",5246,7.84737849197706,104,174,324
"TCGA-A5-A1OF","Primary Tumor",1930,6.57107012321357,510.5,624.666666666667,766
"TCGA-A5-A1OG","Primary Tumor",1805,6.08710646643612,326,259.666666666667,435
"TCGA-A5-A1OH","Primary Tumor",11092,7.39738419537979,237,42,130
"TCGA-A5-A1OJ","Primary Tumor",4966,7.86377500836771,143.5,272,592
"TCGA-A5-A1OK","Primary Tumor",30220,10.0065844366904,53.5,111.333333333333,319
"TCGA-A5-A2K2","Primary Tumor",1981,5.74985132122072,12.5,16.3333333333333,169
"TCGA-A5-A2K3","Primary Tumor",1968,6.60853641694958,3926,3579.66666666667,2807
"TCGA-A5-A2K4","Primary Tumor",4774,6.9181657701562,112.5,203,832
"TCGA-A5-A2K5","Primary Tumor",2503,6.10983109249645,171.5,332.333333333333,107
"TCGA-A5-A2K7","Primary Tumor",12841,8.30260575473181,63,89,328
"TCGA-A5-A3LO","Primary Tumor",11900,7.76536091755282,105.5,136.666666666667,417
"TCGA-A5-A3LP","Primary Tumor",23071,9.08747856535471,237,183.333333333333,891
"TCGA-A5-A7WJ","Primary Tumor",7838,6.85037492944822,76.5,93.6666666666667,229
"TCGA-A5-A7WK","Primary Tumor",17838,8.18910510570224,71,68.6666666666667,501
"TCGA-A5-AB3J","Primary Tumor",15680,8.14903279345927,242,487.666666666667,1746
"TCGA-AJ-A23M","Primary Tumor",2865,6.70971201747373,30,56.3333333333333,401
"TCGA-AJ-A23N","Primary Tumor",5272,6.52176201922022,200.5,231.666666666667,1491
"TCGA-AJ-A23O","Primary Tumor",7207,8.04555560021185,452.5,557.666666666667,875
"TCGA-AJ-A2QK","Primary Tumor",5704,7.65918657369181,375,547.333333333333,1538
"TCGA-AJ-A2QL","Solid Tissue Normal",7507,8.26797614656946,54.5,68.6666666666667,207
"TCGA-AJ-A2QL","Solid Tissue Normal",7507,8.26797614656946,39,210,640
"TCGA-AJ-A2QL","Primary Tumor",12764,9.15241403791681,54.5,68.6666666666667,207
"TCGA-AJ-A2QL","Primary Tumor",12764,9.15241403791681,39,210,640
"TCGA-AJ-A2QM","Primary Tumor",7256,7.42142537901904,46,21,131
"TCGA-AJ-A2QN","Primary Tumor",14633,9.35647906482061,72.5,54.3333333333333,159
"TCGA-AJ-A2QO","Primary Tumor",12619,8.11428302947954,141.5,174.666666666667,528
"TCGA-AJ-A3BD","Primary Tumor",1523,5.48832325402002,218.5,294.666666666667,295
"TCGA-AJ-A3BF","Primary Tumor",3657,6.50471301291643,110.5,105.333333333333,348
"TCGA-AJ-A3BG","Primary Tumor",2502,6.29781181181303,81,68.6666666666667,207
"TCGA-AJ-A3BH","Primary Tumor",11818,8.37175515025,421.5,347,1458
"TCGA-AJ-A3BI","Primary Tumor",2070,6.03931877442986,160,561.333333333333,39
"TCGA-AJ-A3BK","Primary Tumor",12729,8.40700243108893,610.5,747,767
"TCGA-AJ-A3EJ","Primary Tumor",11074,8.20160962781284,86.5,120.333333333333,792
"TCGA-AJ-A3EK","Primary Tumor",6009,7.08780374900657,465,654,3180
"TCGA-AJ-A3EL","Primary Tumor",1989,5.41111499881673,845,919.666666666667,1244
"TCGA-AJ-A3EM","Primary Tumor",5972,7.00668851328462,26.5,15.3333333333333,72
"TCGA-AJ-A3I9","Primary Tumor",4199,6.51581446362423,42.5,82,275
"TCGA-AJ-A3IA","Primary Tumor",6497,6.88589881164524,361.5,448.333333333333,2563
"TCGA-AJ-A3NC","Primary Tumor",16255,8.34490206216339,174.5,133.666666666667,964
"TCGA-AJ-A3NC","Primary Tumor",16255,8.34490206216339,215.5,220.666666666667,1112
"TCGA-AJ-A3NC","Solid Tissue Normal",11630,7.87415326921098,174.5,133.666666666667,964
"TCGA-AJ-A3NC","Solid Tissue Normal",11630,7.87415326921098,215.5,220.666666666667,1112
"TCGA-AJ-A3NE","Solid Tissue Normal",24632,8.95122400544814,365,213,1507
"TCGA-AJ-A3NE","Solid Tissue Normal",24632,8.95122400544814,449,486,1947
"TCGA-AJ-A3NE","Primary Tumor",13153,8.1518498492194,365,213,1507
"TCGA-AJ-A3NE","Primary Tumor",13153,8.1518498492194,449,486,1947
"TCGA-AJ-A3NF","Primary Tumor",13306,7.8354442496096,618,829,3614
"TCGA-AJ-A3NG","Primary Tumor",16320,7.98891227006003,53,85,401
"TCGA-AJ-A3NH","Primary Tumor",7537,7.08276524306981,413,60,237
"TCGA-AJ-A3NH","Primary Tumor",7537,7.08276524306981,124.5,85.3333333333333,502
"TCGA-AJ-A3NH","Solid Tissue Normal",11498,7.87980219572955,413,60,237
"TCGA-AJ-A3NH","Solid Tissue Normal",11498,7.87980219572955,124.5,85.3333333333333,502
"TCGA-AJ-A3OJ","Primary Tumor",5316,7.09217563129756,469.5,381.333333333333,1162
"TCGA-AJ-A3OK","Primary Tumor",16935,8.93569941873551,425.5,724.333333333333,1867
"TCGA-AJ-A3OL","Primary Tumor",3433,6.04185026520589,39.5,4,121
"TCGA-AJ-A3QS","Primary Tumor",5120,6.55357587592934,893,829,3537
"TCGA-AJ-A3TW","Primary Tumor",5967,7.10593948420038,261,289.666666666667,2059
"TCGA-AJ-A5DV","Primary Tumor",31000,9.53650847050111,67.5,105,1501
"TCGA-AJ-A5DW","Primary Tumor",27769,9.29218014001497,362.5,203,1381
"TCGA-AJ-A6NU","Primary Tumor",17725,8.0798628881854,353.5,566,3832
"TCGA-AJ-A8CT","Primary Tumor",12753,8.30625777335794,1086.5,1377,2693
"TCGA-AJ-A8CV","Primary Tumor",28886,9.40862987265483,563.5,545,1113
"TCGA-AJ-A8CW","Primary Tumor",5465,6.77088432990461,290,341.333333333333,978
"TCGA-AP-A051","Primary Tumor",2580,6.58583824681156,150,212.333333333333,684
"TCGA-AP-A052","Primary Tumor",2421,7.1429695016677,17.5,37.3333333333333,119
"TCGA-AP-A053","Primary Tumor",4191,7.5641034155274,89.5,57.6666666666667,111
"TCGA-AP-A054","Primary Tumor",1527,5.47182922987371,100,140.333333333333,201
"TCGA-AP-A056","Primary Tumor",2463,6.9995754294435,165.5,224.666666666667,488
"TCGA-AP-A059","Primary Tumor",6827,7.95843835962269,1890,1567.33333333333,2526
"TCGA-AP-A05A","Primary Tumor",683,6.35700098739396,3.5,4.33333333333333,11
