"ENSG","SYMBOL","Correlation"
"ENSG00000002587","HS3ST1",0.624272776008732
"ENSG00000005001","PRSS22",0.630002110750803
"ENSG00000005884","ITGA3",0.609331539930774
"ENSG00000006453","BAIAP2L1",0.642403026907081
"ENSG00000006534","ALDH3B1",0.657004554673439
"ENSG00000007384","RHBDF1",0.640004222411626
"ENSG00000011422","PLAUR",0.665320324353904
"ENSG00000013364","MVP",0.653163183394787
"ENSG00000013588","GPRC5A",0.717647902653024
"ENSG00000014216","CAPN1",0.673083618473845
"ENSG00000019102","VSIG2",0.620510839979246
"ENSG00000042493","CAPG",0.647566830807484
"ENSG00000044115","CTNNA1",0.629843511243075
"ENSG00000052344","PRSS8",0.648416399803881
"ENSG00000053747","LAMA3",0.611512691541785
"ENSG00000058085","LAMC2",0.674560000625603
"ENSG00000060140","STYK1",0.655887600818784
"ENSG00000060558","GNA15",0.605168447709382
"ENSG00000062038","CDH3",0.652701049071665
"ENSG00000065618","COL17A1",0.682251049146324
"ENSG00000066248","NGEF",0.61135933647108
"ENSG00000066322","ELOVL1",0.638535258391201
"ENSG00000069011","PITX1",0.619626688865615
"ENSG00000070882","OSBPL3",0.66364960595078
"ENSG00000073792","IGF2BP2",0.625949180886383
"ENSG00000080815","PSEN1",0.604014229594302
"ENSG00000084207","GSTP1",0.651029891333776
"ENSG00000085552","IGSF9",0.638419094416021
"ENSG00000085733","CTTN",0.642024602296917
"ENSG00000085978","ATG16L1",0.682322623926415
"ENSG00000090776","EFNB1",0.649128204457694
"ENSG00000091409","ITGA6",0.68704586290931
"ENSG00000092929","UNC13D",0.608395229060794
"ENSG00000099282","TSPAN15",0.606769061359353
"ENSG00000100290","BIK",0.624009096329854
"ENSG00000100300","TSPO",0.622403864578891
"ENSG00000100558","PLEK2",0.746787994472446
"ENSG00000101213","PTK6",0.696989306820288
"ENSG00000101311","FERMT1",0.605356875695024
"ENSG00000101353","MROH8",-0.612837408455177
"ENSG00000102098","SCML2",-0.622494689876721
"ENSG00000102554","KLF5",0.666409709079905
"ENSG00000102854","MSLN",0.620579416978061
"ENSG00000103089","FA2H",0.723229566215243
"ENSG00000104611","SH2D4A",0.633376052856407
"ENSG00000104689","TNFRSF10A",0.722471634536933
"ENSG00000104783","KCNN4",0.693834300040787
"ENSG00000104881","PPP1R13L",0.615648128804042
"ENSG00000105289","TJP3",0.600568932514913
"ENSG00000105976","MET",0.664998979200682
"ENSG00000106789","CORO2A",0.636699450497735
"ENSG00000107960","STN1",0.604339821812603
"ENSG00000109452","INPP4B",0.609248569030979
"ENSG00000111057","KRT18",0.604856176677922
"ENSG00000112378","PERP",0.628769954895594
"ENSG00000112414","ADGRG6",0.614202536911279
"ENSG00000114529","C3orf52",0.663288644544806
"ENSG00000115221","ITGB6",0.648662937188821
"ENSG00000115641","FHL2",0.641538069965757
"ENSG00000116260","QSOX1",0.604895101873395
"ENSG00000117308","GALE",0.636562609535394
"ENSG00000117362","APH1A",0.601868444507924
"ENSG00000117394","SLC2A1",0.642687643710415
"ENSG00000118640","VAMP8",0.615746604241598
"ENSG00000120889","TNFRSF10B",0.635032569758541
"ENSG00000121316","PLBD1",0.6416092253607
"ENSG00000122359","ANXA11",0.723535217007994
"ENSG00000123146","ADGRE5",0.65914811483618
"ENSG00000124145","SDC4",0.668991999935606
"ENSG00000124171","PARD6B",0.614589177907988
"ENSG00000124356","STAMBP",0.650822875914379
"ENSG00000125266","EFNB2",0.607193368586737
"ENSG00000125731","SH2D3A",0.707883397221621
"ENSG00000125733","TRIP10",0.680286852064694
"ENSG00000125753","VASP",0.700957210191899
"ENSG00000125775","SDCBP2",0.705538264785955
"ENSG00000126458","RRAS",0.647641422224415
"ENSG00000130164","LDLR",0.705271350547572
"ENSG00000130402","ACTN4",0.654292397131051
"ENSG00000131037","EPS8L1",0.702795235373096
"ENSG00000131504","DIAPH1",0.653682990608601
"ENSG00000131620","ANO1",0.601719881255538
"ENSG00000131746","TNS4",0.661162397444579
"ENSG00000131941","RHPN2",0.668372322541572
"ENSG00000131981","LGALS3",0.692563479379632
"ENSG00000132170","PPARG",0.678973312601173
"ENSG00000132470","ITGB4",0.76135012467918
"ENSG00000133111","RFXAP",-0.65855182337177
"ENSG00000134070","IRAK2",0.637783328842294
"ENSG00000134333","LDHA",0.638505470835361
"ENSG00000135114","OASL",0.688846394707887
"ENSG00000135269","TES",0.633017084782932
"ENSG00000135480","KRT7",0.654129971208444
"ENSG00000135750","KCNK1",0.638838179138109
"ENSG00000135926","TMBIM1",0.712181676655053
"ENSG00000136059","VILL",0.649594881333602
"ENSG00000136153","LMO7",0.636671342849008
"ENSG00000136379","ABHD17C",0.644971324831229
"ENSG00000136542","GALNT5",0.660248815171394
"ENSG00000136689","IL1RN",0.656593474230747
"ENSG00000136802","LRRC8A",0.639470016594442
"ENSG00000137309","HMGA1",0.672976611226917
"ENSG00000137440","FGFBP1",0.60354498127859
"ENSG00000137648","TMPRSS4",0.722075613344316
"ENSG00000137699","TRIM29",0.672885705189134
"ENSG00000138594","TMOD3",0.622755572048377
"ENSG00000138772","ANXA3",0.705946110285503
"ENSG00000141526","SLC16A3",0.630672735947773
"ENSG00000141736","ERBB2",0.623222169999533
"ENSG00000141934","PLPP2",0.617001664013913
"ENSG00000142627","EPHA2",0.761137821204382
"ENSG00000142867","BCL10",0.651138100204546
"ENSG00000142910","TINAGL1",0.655637931182111
"ENSG00000143217","NECTIN4",0.66826737408834
"ENSG00000143367","TUFT1",0.602200061200417
"ENSG00000143549","TPM3",0.632158569905773
"ENSG00000144118","RALB",0.648539361555029
"ENSG00000145247","OCIAD2",0.618550163437829
"ENSG00000147689","FAM83A",0.607203089107898
"ENSG00000148737","TCF7L2",0.633141679831866
"ENSG00000149418","ST14",0.699191016804986
"ENSG00000149782","PLCB3",0.655431245843175
"ENSG00000152056","AP1S3",0.675002984599074
"ENSG00000153786","ZDHHC7",0.625158703121649
"ENSG00000155366","RHOC",0.61283056197474
"ENSG00000156453","PCDH1",0.681148921723277
"ENSG00000156463","SH3RF2",0.649697135195298
"ENSG00000156510","HKDC1",0.617271180192236
"ENSG00000156599","ZDHHC5",0.64215576662723
"ENSG00000158315","RHBDL2",0.656079923861693
"ENSG00000158710","TAGLN2",0.616176215224881
"ENSG00000158769","F11R",0.687606066600781
"ENSG00000159166","LAD1",0.680767506746413
"ENSG00000159314","ARHGAP27",0.658153915174763
"ENSG00000159399","HK2",0.676357660158483
"ENSG00000160932","LY6E",0.608926694514009
"ENSG00000161013","MGAT4B",0.612655832817401
"ENSG00000161714","PLCD3",0.681585333664796
"ENSG00000162302","RPS6KA4",0.626086867783372
"ENSG00000162909","CAPN2",0.627149783978591
"ENSG00000163162","RNF149",0.633576966391327
"ENSG00000163191","S100A11",0.702004700917302
"ENSG00000163235","TGFA",0.700674054450171
"ENSG00000163362","INAVA",0.662744395557282
"ENSG00000163812","ZDHHC3",0.628689224727401
"ENSG00000163898","LIPH",0.641313098700447
"ENSG00000163993","S100P",0.71315104037613
"ENSG00000164078","MST1R",0.728564120930686
"ENSG00000164251","F2RL1",0.623426941226205
"ENSG00000164379","FOXQ1",0.621484776879855
"ENSG00000164924","YWHAZ",0.642488381157633
"ENSG00000165527","ARF6",0.624535867012044
"ENSG00000165949","IFI27",0.611428338423573
"ENSG00000165995","CACNB2",-0.652129810498895
"ENSG00000166889","PATL1",0.609861979441463
"ENSG00000166949","SMAD3",0.674405306116978
"ENSG00000167105","TMEM92",0.689333043867624
"ENSG00000167553","TUBA1C",0.600366934241355
"ENSG00000167600","CYP2S1",0.619513974077295
"ENSG00000167880","EVPL",0.6162823782661
"ENSG00000167900","TK1",0.615735047358204
"ENSG00000168143","FAM83B",0.605873535077486
"ENSG00000168528","SERINC2",0.650573276337647
"ENSG00000169813","HNRNPF",0.613643154389325
"ENSG00000169908","TM4SF1",0.697475157830908
"ENSG00000169918","OTUD7A",-0.606888310351305
"ENSG00000170421","KRT8",0.63353596450058
"ENSG00000170464","DNAJC18",-0.6121963915566
"ENSG00000170537","TMC7",0.723332877200075
"ENSG00000170545","SMAGP",0.646533048803786
"ENSG00000170786","SDR16C5",0.642232355544515
"ENSG00000171124","FUT3",0.666254858463082
"ENSG00000171345","KRT19",0.7312547113107
"ENSG00000171346","KRT15",0.605216126426227
"ENSG00000171552","BCL2L1",0.626488476804853
"ENSG00000172531","PPP1CA",0.61578196568895
"ENSG00000172818","OVOL1",0.656141459578808
"ENSG00000172830","SSH3",0.607698478083508
"ENSG00000172927","MYEOV",0.641950029001187
"ENSG00000173039","RELA",0.660069673458195
"ENSG00000173156","RHOD",0.630623620214122
"ENSG00000173801","JUP",0.713457057482022
"ENSG00000173848","NET1",0.67241347967932
"ENSG00000175591","P2RY2",0.673547723620144
"ENSG00000175793","SFN",0.747304139205757
"ENSG00000176092","CRYBG2",0.687394360068945
"ENSG00000176532","PRR15",0.640712157837011
"ENSG00000176678","FOXL1",0.609892431937351
"ENSG00000177576","C18orf32",-0.612480224324359
"ENSG00000178209","PLEC",0.643044890583121
"ENSG00000179674","ARL14",0.635125930785572
"ENSG00000179913","B3GNT3",0.601544078120075
"ENSG00000180263","FGD6",0.604399471859644
"ENSG00000180921","FAM83H",0.612623501252249
"ENSG00000181019","NQO1",0.645481052604609
"ENSG00000181649","PHLDA2",0.678036570793101
"ENSG00000182718","ANXA2",0.727155123376081
"ENSG00000183742","MACC1",0.629451863212065
"ENSG00000184083","FAM120C",-0.601181451134829
"ENSG00000184292","TACSTD2",0.63670072402339
"ENSG00000184363","PKP3",0.610412512542416
"ENSG00000184619","KRBA2",-0.647636647069206
"ENSG00000185033","SEMA4B",0.617204613756022
"ENSG00000185467","KPNA7",0.668030799857139
"ENSG00000185499","MUC1",0.636654066349806
"ENSG00000185761","ADAMTSL5",0.652796549548827
"ENSG00000186832","KRT16",0.664731744500565
"ENSG00000187514","PTMA",0.645310956417663
"ENSG00000187583","PLEKHN1",0.655123107785213
"ENSG00000188112","C6orf132",0.682270613284878
"ENSG00000188643","S100A16",0.716798021160853
"ENSG00000188910","GJB3",0.728692996025712
"ENSG00000189143","CLDN4",0.622065706449844
"ENSG00000189159","JPT1",0.715525992605388
"ENSG00000189334","S100A14",0.67375827729747
"ENSG00000189433","GJB4",0.662567455614078
"ENSG00000196141","SPATS2L",0.617277836576003
"ENSG00000196188","CTSE",0.603228249813896
"ENSG00000196411","EPHB4",0.640618898298282
"ENSG00000196878","LAMB3",0.751809246412736
"ENSG00000197122","SRC",0.628040154973668
"ENSG00000197142","ACSL5",0.6121090415888
"ENSG00000197747","S100A10",0.684334253834791
"ENSG00000197841","ZNF181",-0.630106027627466
"ENSG00000197930","ERO1A",0.630726959701093
"ENSG00000197956","S100A6",0.664011367510893
"ENSG00000198113","TOR4A",0.671075479156836
"ENSG00000198561","CTNND1",0.676503083415778
"ENSG00000198648","STK39",0.610100818979807
"ENSG00000198818","SFT2D1",0.652799032146525
"ENSG00000203485","INF2",0.643333256907319
"ENSG00000204618","RNF39",0.614526501761715
"ENSG00000204839","MROH6",0.626888511828559
"ENSG00000206075","SERPINB5",0.676598272024708
"ENSG00000213719","CLIC1",0.72036334721208
"ENSG00000218014","KRT19P1",0.653539711224514
"ENSG00000221926","TRIM16",0.68553999527372
"ENSG00000225969","ABHD11-AS1",0.63035089341056
"ENSG00000226652","PSMD10P2",0.600067753079649
"ENSG00000227959","AL451042.2",0.647747410828453
"ENSG00000228952","LINC02041",0.657178652292156
"ENSG00000230844","ZNF674-AS1",-0.605722429735818
"ENSG00000231991","ANXA2P2",0.665327781130423
"ENSG00000237330","RNF223",0.706811753361711
"ENSG00000237523","LINC00857",0.62154828236564
"ENSG00000243364","EFNA4",0.628192103549206
"ENSG00000246228","CASC8",0.608317814596145
"ENSG00000246582","AC100861.1",0.663921226185904
"ENSG00000253930","TNFRSF10A-AS1",0.649813463449505
"ENSG00000254986","DPP3",0.622905291718256
"ENSG00000260329","AC007541.1",-0.641322243090478
"ENSG00000261534","AL596244.1",-0.621704959128949
"ENSG00000263718","SEPTIN9-DT",0.602711668993191
"ENSG00000264247","LINC00909",-0.602121374144176
"ENSG00000271447","MMP28",0.610453207877959
"ENSG00000271614","ATP2B1-AS1",-0.616397477123621
"ENSG00000272106","AL691432.2",-0.601885369668047
"ENSG00000273132","AL355312.3",0.662488077991208
"ENSG00000280120","AC073857.1",-0.624747857842735
"ENSG00000281406","BLACAT1",0.645475262030769
"ENSG00000285967","NIPBL-DT",-0.619287295553848
