"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1904380","endoplasmic reticulum mannose trimming","1/3","11/18986",0.0909090909090909,575.333333333333,23.9526173880394,0.00173720744775419,0.0248605501248125,0.00610610003065571,"6048",1
"GO:0036507","protein demannosylation","1/3","18/18986",0.0555555555555556,351.592592592593,18.7073263360284,0.00284165488364185,0.0248605501248125,0.00610610003065571,"6048",1
"GO:0036508","protein alpha-1,2-demannosylation","1/3","18/18986",0.0555555555555556,351.592592592593,18.7073263360284,0.00284165488364185,0.0248605501248125,0.00610610003065571,"6048",1
"GO:0006517","protein deglycosylation","1/3","21/18986",0.0476190476190476,301.365079365079,17.3127543941143,0.00331474001664167,0.0248605501248125,0.00610610003065571,"6048",1
"GO:2000785","regulation of autophagosome assembly","1/3","49/18986",0.0204081632653061,129.156462585034,11.2918855075031,0.00772298772137359,0.0385463325168635,0.0094675202672998,"6048",1
"GO:0031648","protein destabilization","1/3","53/18986",0.0188679245283019,119.408805031447,10.8516485487976,0.00835167430085115,0.0385463325168635,0.0094675202672998,"6048",1
"GO:0044088","regulation of vacuole organization","1/3","60/18986",0.0166666666666667,105.477777777778,10.1895179384082,0.00945123673713544,0.0385463325168635,0.0094675202672998,"6048",1
"GO:0070534","protein K63-linked ubiquitination","1/3","66/18986",0.0151515151515152,95.8888888888889,9.70756410670384,0.0103930716416479,0.0385463325168635,0.0094675202672998,"6048",1
"GO:0006970","response to osmotic stress","1/3","85/18986",0.0117647058823529,74.4549019607843,8.53240299460293,0.0133716098776138,0.0385463325168635,0.0094675202672998,"9053",1
"GO:0010507","negative regulation of autophagy","1/3","96/18986",0.0104166666666667,65.9236111111111,8.01688787351793,0.0150932919454249,0.0385463325168635,0.0094675202672998,"6048",1
"GO:0070936","protein K48-linked ubiquitination","1/3","99/18986",0.0101010101010101,63.9259259259259,7.89131221059114,0.0155624937366592,0.0385463325168635,0.0094675202672998,"6048",1
"GO:0036503","ERAD pathway","1/3","113/18986",0.00884955752212389,56.0058997050147,7.37244478493839,0.0177501318424306,0.0385463325168635,0.0094675202672998,"6048",1
"GO:0000045","autophagosome assembly","1/3","120/18986",0.00833333333333333,52.7388888888889,7.14745303017923,0.0188427344897271,0.0385463325168635,0.0094675202672998,"6048",1
"GO:0031330","negative regulation of cellular catabolic process","1/3","122/18986",0.00819672131147541,51.8743169398907,7.08671743880265,0.0191547577875476,0.0385463325168635,0.0094675202672998,"6048",1
"GO:1905037","autophagosome organization","1/3","127/18986",0.0078740157480315,49.8320209973753,6.94113886679314,0.0199345266009716,0.0385463325168635,0.0094675202672998,"6048",1
"GO:0032543","mitochondrial translation","1/3","131/18986",0.00763358778625954,48.3104325699746,6.8306621073897,0.0205580440089939,0.0385463325168635,0.0094675202672998,"28973",1
"GO:0140053","mitochondrial gene expression","1/3","169/18986",0.00591715976331361,37.4477317554241,5.98304363501153,0.0264682748536526,0.0467087203299751,0.011472317274029,"28973",1
"GO:0007163","establishment or maintenance of cell polarity","1/3","227/18986",0.00440528634361234,27.8795888399413,5.12170089685235,0.0354432377191622,0.0561709059441863,0.0137963628634843,"9053",1
"GO:1902115","regulation of organelle assembly","1/3","234/18986",0.00427350427350427,27.0455840455841,5.03966578400988,0.0365226776427484,0.0561709059441863,0.0137963628634843,"6048",1
"GO:0007033","vacuole organization","1/3","240/18986",0.00416666666666667,26.3694444444444,4.97216778735921,0.0374472706294575,0.0561709059441863,0.0137963628634843,"6048",1
"GO:0000209","protein polyubiquitination","1/3","263/18986",0.00380228136882129,24.063371356147,4.73474344755182,0.0409860638856978,0.0585515198367112,0.0143810750476133,"6048",1
"GO:0034976","response to endoplasmic reticulum stress","1/3","277/18986",0.0036101083032491,22.8471720818291,4.60461507220452,0.043135859486876,0.0588216265730128,0.0144474170530207,"6048",1
"GO:0072659","protein localization to plasma membrane","1/3","295/18986",0.00338983050847458,21.4531073446328,4.45079448410816,0.0458951584194974,0.059863250112388,0.014703254413569,"9053",1
"GO:1990778","protein localization to cell periphery","1/3","362/18986",0.00276243093922652,17.4825046040516,3.98037980149208,0.0561192578751312,0.0627656254195986,0.0154161185241119,"9053",1
"GO:0009895","negative regulation of catabolic process","1/3","367/18986",0.00272479564032698,17.244323342416,3.95039011537148,0.0568793078256781,0.0627656254195986,0.0154161185241119,"6048",1
"GO:0016236","macroautophagy","1/3","372/18986",0.00268817204301075,17.0125448028674,3.92098767607132,0.0576389496518985,0.0627656254195986,0.0154161185241119,"6048",1
"GO:0010506","regulation of autophagy","1/3","373/18986",0.00268096514745308,16.9669347631814,3.91517593278928,0.0577908290518686,0.0627656254195986,0.0154161185241119,"6048",1
"GO:0031647","regulation of protein stability","1/3","387/18986",0.00258397932816537,16.3531438415159,3.83611403041016,0.0599154274806494,0.0627656254195986,0.0154161185241119,"6048",1
"GO:0009100","glycoprotein metabolic process","1/3","392/18986",0.00255102040816327,16.1445578231293,3.80887501728682,0.060673437905612,0.0627656254195986,0.0154161185241119,"6048",1
"GO:0031329","regulation of cellular catabolic process","1/3","472/18986",0.00211864406779661,13.4081920903955,3.43172818796509,0.0727462488591166,0.0727462488591166,0.017867499719783,"6048",1
