"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"hsa04382","Cornified envelope formation","25/134","217/9512",0.115207373271889,8.17800398927024,12.7855448805664,2.28825955608631e-16,5.90370965470269e-14,5.01008408069425e-14,"823/5652/3909/3918/1308/64834/3655/3875/3691/3855/6768/6282/2125/3856/3880/3866/3728/5339/3868/140576/1364/57402/3914/6281/6277",25
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","15/134","203/9512",0.0738916256157636,5.24520255863539,7.30811372401033,1.51568525320932e-07,1.95523397664003e-05,1.65927648772389e-05,"3675/3909/3918/3655/4233/3694/7408/81/1729/3691/2064/824/5499/3914/6714",15
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","10/134","93/9512",0.10752688172043,7.63280372331889,7.68327888905557,6.58139674143779e-07,5.6600011976365e-05,4.80326499024231e-05,"1495/4233/81/4008/2064/81607/6934/4088/6714/1500",10
NA,NA,"hsa04518","Integrin signaling","12/134","154/9512",0.0779220779220779,5.53130451637914,6.7764535347903,1.62639569465363e-06,9.20364600028685e-05,7.81051965752617e-05,"3675/3909/3918/3655/55612/4233/3694/81/3691/2064/3914/6714",12
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","13/134","184/9512",0.0706521739130435,5.01524983776768,6.57411946523372,1.78365232563699e-06,9.20364600028685e-05,7.81051965752617e-05,"25791/1947/4233/84612/1948/6237/1969/54961/29984/10509/2050/6714/1945",13
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","15/134","253/9512",0.0592885375494071,4.20860126246239,6.18307257865649,2.52552606495335e-06,0.000108597620792994,9.21595476333853e-05,"823/2017/55054/81/1729/8915/5331/80201/3099/113026/824/382/598/5970/6714",15
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","8/134","86/9512",0.0930232558139535,6.6032627559875,6.23931442682707,2.65241148070927e-05,0.000977603088604273,0.000829626448101545,"3675/1495/3655/3694/3691/6934/783/3728",8
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","8/134","89/9512",0.0898876404494382,6.38068086533624,6.09604294544555,3.40776869568837e-05,0.0010990054043595,0.000932652485135763,"3675/3909/3918/3655/3694/6385/3691/3914",8
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","7/134","71/9512",0.0985915492957746,6.99852848433887,6.06422458588286,5.91053061550858e-05,0.00169435210977913,0.00143788347137519,"4233/6513/3939/9123/2064/80201/3099",7
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","7/134","75/9512",0.0933333333333333,6.6252736318408,5.84611942347279,8.41884488496724e-05,0.00217206198032155,0.00184328393270862,"8797/10848/64065/8795/598/2810/5268",7
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","12/134","233/9512",0.0515021459227468,3.65588367176991,4.90621750760923,0.0001059247197924,0.00248441615513083,0.00210835805902576,"3675/3655/3694/2274/6385/1729/3691/29766/7170/3728/5339/64423",12
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","10/134","170/9512",0.0588235294117647,4.17559262510975,4.9938982534469,0.000138121536769207,0.00296961304053795,0.00252011224982412,"2017/27134/84612/7408/81/2064/50848/84790/1364/6714",10
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","15/134","362/9512",0.0414364640883978,2.94137049558836,4.50155477589857,0.000168383533885519,0.00334176551865107,0.00283593320228243,"3675/3909/3918/3655/4233/3694/3691/2064/1969/7039/7534/598/5970/3914/1945",15
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","7/134","93/9512",0.0752688172043011,5.34296260632322,5.03078250179614,0.000325770773011047,0.00600348995977501,0.00509476096137577,"3675/3909/3918/3655/598/5970/3914",7
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","7/134","103/9512",0.0679611650485437,4.82422837269961,4.66445677840507,0.000606493019509951,0.0104316799355712,0.00885267003916279,"3909/3918/2769/81/5331/5970/3914",7
